date,account_value,agent
2025-01-02,1000000.0,S&P 500 Baseline
2025-01-03,1012596.026721492,S&P 500 Baseline
2025-01-06,1018203.8291708233,S&P 500 Baseline
2025-01-07,1006897.7825554819,S&P 500 Baseline
2025-01-08,1008468.9057717124,S&P 500 Baseline
2025-01-10,992926.7422094903,S&P 500 Baseline
2025-01-13,994491.0427755207,S&P 500 Baseline
2025-01-14,995631.0077803173,S&P 500 Baseline
2025-01-15,1013863.791612966,S&P 500 Baseline
2025-01-16,1011721.8122622992,S&P 500 Baseline
2025-01-17,1021829.9845491934,S&P 500 Baseline
2025-01-21,1030789.6219170149,S&P 500 Baseline
2025-01-22,1037116.5483380606,S&P 500 Baseline
2025-01-23,1042627.2528266156,S&P 500 Baseline
2025-01-24,1039650.4140599845,S&P 500 Baseline
2025-01-27,1024491.5669547435,S&P 500 Baseline
2025-01-28,1033935.1964715251,S&P 500 Baseline
2025-01-29,1029097.5214643072,S&P 500 Baseline
2025-01-30,1034526.4373535105,S&P 500 Baseline
2025-01-31,1029305.3626862605,S&P 500 Baseline
2025-02-03,1021473.7922869108,S&P 500 Baseline
2025-02-04,1028853.8197272769,S&P 500 Baseline
2025-02-05,1032875.2728020041,S&P 500 Baseline
2025-02-06,1036639.3788393007,S&P 500 Baseline
2025-02-07,1026827.8254300143,S&P 500 Baseline
2025-02-10,1033720.4493963204,S&P 500 Baseline
2025-02-11,1034071.4830694271,S&P 500 Baseline
2025-02-12,1031254.8101763987,S&P 500 Baseline
2025-02-13,1042006.9740797535,S&P 500 Baseline
2025-02-14,1041932.0081306023,S&P 500 Baseline
2025-02-18,1044479.5191529264,S&P 500 Baseline
2025-02-19,1046962.2149983484,S&P 500 Baseline
2025-02-20,1042424.4869907869,S&P 500 Baseline
2025-02-21,1024636.4234669214,S&P 500 Baseline
2025-02-24,1019544.8959504243,S&P 500 Baseline
2025-02-25,1014773.700181133,S&P 500 Baseline
2025-02-26,1014911.7340431109,S&P 500 Baseline
2025-02-27,998810.6123827774,S&P 500 Baseline
2025-02-28,1014645.9002944557,S&P 500 Baseline
2025-03-03,996791.4407357146,S&P 500 Baseline
2025-03-04,984595.8702997556,S&P 500 Baseline
2025-03-05,995583.2492289157,S&P 500 Baseline
2025-03-06,977842.9442564518,S&P 500 Baseline
2025-03-07,983241.2414228055,S&P 500 Baseline
2025-03-10,956720.1856426479,S&P 500 Baseline
2025-03-11,949479.8561252839,S&P 500 Baseline
2025-03-12,954119.8406827975,S&P 500 Baseline
2025-03-13,940866.1770444445,S&P 500 Baseline
2025-03-14,960874.5139901771,S&P 500 Baseline
2025-03-17,967039.6104765953,S&P 500 Baseline
2025-03-18,956737.2422681485,S&P 500 Baseline
2025-03-19,967068.5651384208,S&P 500 Baseline
2025-03-20,964955.6236526306,S&P 500 Baseline
2025-03-21,965751.3776345205,S&P 500 Baseline
2025-03-24,982793.026585871,S&P 500 Baseline
2025-03-25,984340.2705264008,S&P 500 Baseline
2025-03-26,973358.0501864164,S&P 500 Baseline
2025-03-27,970139.1737437795,S&P 500 Baseline
2025-03-28,950991.3227537881,S&P 500 Baseline
2025-03-31,956258.4087083642,S&P 500 Baseline
2025-04-01,959874.2469083826,S&P 500 Baseline
2025-04-02,966332.4677442571,S&P 500 Baseline
2025-04-03,919566.1959315372,S&P 500 Baseline
2025-04-04,864622.4786355365,S&P 500 Baseline
2025-04-07,862606.6351105229,S&P 500 Baseline
2025-04-08,849063.2584478138,S&P 500 Baseline
2025-04-09,929854.9188395838,S&P 500 Baseline
2025-04-10,897674.8907335929,S&P 500 Baseline
2025-04-11,913915.7103169288,S&P 500 Baseline
2025-04-14,921176.5077848935,S&P 500 Baseline
2025-04-15,919584.9166180622,S&P 500 Baseline
2025-04-16,898978.5161401439,S&P 500 Baseline
2025-04-17,900171.3150824667,S&P 500 Baseline
2025-04-21,878956.5338940109,S&P 500 Baseline
2025-04-22,901033.4650992322,S&P 500 Baseline
2025-04-23,916045.7084282195,S&P 500 Baseline
2025-04-24,934603.9825972499,S&P 500 Baseline
2025-04-25,941494.9425025315,S&P 500 Baseline
2025-04-28,942098.1646238931,S&P 500 Baseline
2025-04-29,947564.6050891979,S&P 500 Baseline
2025-04-30,948966.9925175495,S&P 500 Baseline
2025-05-01,954944.6325295641,S&P 500 Baseline
2025-05-02,969007.6954502076,S&P 500 Baseline
2025-05-05,962823.8782772642,S&P 500 Baseline
2025-05-06,955416.6434391482,S&P 500 Baseline
2025-05-07,959569.2245226017,S&P 500 Baseline
2025-05-08,965134.5102127586,S&P 500 Baseline
2025-05-09,964447.8354310209,S&P 500 Baseline
2025-05-12,995849.082977571,S&P 500 Baseline
2025-05-13,1003067.1972802588,S&P 500 Baseline
2025-05-14,1004094.7549628541,S&P 500 Baseline
2025-05-15,1008244.0079242585,S&P 500 Baseline
2025-05-16,1015307.0317394679,S&P 500 Baseline
2025-05-19,1016196.5555600856,S&P 500 Baseline
2025-05-20,1012253.4797596097,S&P 500 Baseline
2025-05-21,995920.637601622,S&P 500 Baseline
2025-05-22,995477.5813538635,S&P 500 Baseline
2025-05-23,988799.6212597109,S&P 500 Baseline
2025-05-27,1009029.5279308483,S&P 500 Baseline
2025-05-28,1003407.9969780651,S&P 500 Baseline
2025-05-29,1007432.8613778924,S&P 500 Baseline
2025-05-30,1007351.0727785409,S&P 500 Baseline
2025-06-02,1011483.2691144448,S&P 500 Baseline
2025-06-03,1017350.1658652826,S&P 500 Baseline
2025-06-04,1017425.1318144338,S&P 500 Baseline
2025-06-05,1012055.7893099056,S&P 500 Baseline
2025-06-06,1022460.4140683047,S&P 500 Baseline
2025-06-09,1023401.0245623728,S&P 500 Baseline
2025-06-10,1029012.3215398554,S&P 500 Baseline
2025-06-11,1026188.825996627,S&P 500 Baseline
2025-06-12,1030111.3506434507,S&P 500 Baseline
2025-06-13,1018474.8215086543,S&P 500 Baseline
2025-06-16,1028041.0091198864,S&P 500 Baseline
