GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget,tic
2026-04-21 13:31:01,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-04-21 12:14:24,Rosenblatt,Neutral,Neutral,main,Maintains,268.0,268.0,AAPL
2026-04-17 13:49:05,BNP Paribas,Outperform,Neutral,up,Announces,300.0,0.0,AAPL
2026-04-14 10:32:04,B of A Securities,Buy,Buy,main,Raises,325.0,320.0,AAPL
2026-03-31 14:42:50,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-03-27 12:32:56,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-03-23 17:54:21,Morgan Stanley,Overweight,Overweight,reit,Maintains,315.0,315.0,AAPL
2026-03-23 14:02:48,B of A Securities,Buy,Buy,main,Lowers,320.0,325.0,AAPL
2026-03-05 13:56:15,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-03-05 13:45:09,Rosenblatt,Neutral,Neutral,main,Raises,268.0,267.0,AAPL
2026-03-03 15:20:44,Barclays,Underweight,Underweight,main,Raises,248.0,239.0,AAPL
2026-02-17 15:00:44,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-01-30 20:50:24,Jefferies,Hold,Hold,main,Raises,286.54,276.47,AAPL
2026-01-30 20:47:29,Maxim Group,Buy,Hold,up,Announces,300.0,0.0,AAPL
2026-01-30 20:44:54,JP Morgan,Overweight,Overweight,main,Raises,325.0,315.0,AAPL
2026-01-30 17:45:26,TD Cowen,Buy,Buy,reit,Maintains,325.0,325.0,AAPL
2026-01-30 15:49:07,Barclays,Underweight,Underweight,main,Raises,239.0,230.0,AAPL
2026-01-30 14:56:34,DA Davidson,Neutral,Neutral,main,Maintains,270.0,270.0,AAPL
2026-01-30 14:41:01,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-01-30 13:51:44,Needham,Hold,Hold,reit,,0.0,0.0,AAPL
2026-01-30 12:58:32,Rosenblatt,Neutral,Neutral,main,Raises,267.0,250.0,AAPL
2026-01-26 15:05:59,JP Morgan,Overweight,Overweight,main,Raises,315.0,305.0,AAPL
2026-01-26 15:00:02,Jefferies,Hold,Hold,main,Lowers,276.47,283.36,AAPL
2026-01-20 17:58:17,Citigroup,Buy,Buy,main,Lowers,315.0,330.0,AAPL
2026-01-20 12:22:33,Evercore ISI Group,Outperform,Outperform,reit,Maintains,330.0,330.0,AAPL
2026-01-13 13:54:14,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-01-12 13:59:33,Wedbush,Outperform,Outperform,reit,Maintains,350.0,350.0,AAPL
2026-01-09 16:37:16,Evercore ISI Group,Outperform,Outperform,main,Raises,330.0,325.0,AAPL
2025-12-17 12:06:28,Morgan Stanley,Overweight,Overweight,main,Raises,315.0,305.0,AAPL
2025-12-09 19:46:05,Citigroup,Buy,Buy,main,Raises,330.0,315.0,AAPL
2025-12-08 14:24:59,Evercore ISI Group,Outperform,Outperform,main,Raises,325.0,300.0,AAPL
2025-12-08 14:14:28,Wedbush,Outperform,Outperform,main,Raises,350.0,320.0,AAPL
2025-12-05 13:35:45,CLSA,Outperform,Outperform,main,Raises,330.0,265.0,AAPL
2025-12-02 14:47:28,Loop Capital,Buy,Buy,main,Raises,325.0,315.0,AAPL
2025-11-04 13:18:21,Rosenblatt,Neutral,Neutral,main,Maintains,250.0,250.0,AAPL
2025-10-31 21:07:13,Wells Fargo,Overweight,Overweight,main,Raises,300.0,290.0,AAPL
2025-10-31 20:39:47,Barclays,Underweight,Underweight,main,Raises,230.0,180.0,AAPL
2025-10-31 19:38:32,Citigroup,Buy,Buy,main,Raises,315.0,245.0,AAPL
