tic,earnings_date,surprise_pct
AAPL,2026-04-30,
AAPL,2026-01-29,6.25
AAPL,2025-10-30,4.45
AAPL,2025-07-31,9.48
AAPL,2025-05-01,1.5
AAPL,2025-01-30,2.26
AAPL,2024-10-31,2.28
AAPL,2024-08-01,4.36
AAPL,2024-05-02,2.05
AAPL,2024-02-01,3.55
AAPL,2023-11-02,4.82
AAPL,2023-08-03,5.47
AAPL,2023-05-04,6.28
AAPL,2023-02-02,-3.67
AAPL,2022-10-27,1.44
AAPL,2022-07-28,3.93
AAPL,2022-04-28,6.3
AAPL,2022-01-27,11.16
AAPL,2021-10-28,0.17
AAPL,2021-07-27,28.18
AAPL,2021-04-28,41.59
AAPL,2021-01-27,18.67
AAPL,2020-10-29,4.48
AAPL,2020-07-30,24.45
AAPL,2020-04-30,12.93
ABBV,2026-04-29,
ABBV,2026-02-04,2.16
ABBV,2025-10-31,4.23
ABBV,2025-07-31,2.14
ABBV,2025-04-25,2.62
ABBV,2025-01-31,1.92
ABBV,2024-10-30,2.82
ABBV,2024-07-25,-0.39
ABBV,2024-04-26,2.37
ABBV,2024-02-02,-0.32
ABBV,2023-10-27,2.8
ABBV,2023-07-27,3.64
ABBV,2023-04-27,-1.37
ABBV,2023-02-09,0.65
ABBV,2022-10-28,2.65
ABBV,2022-07-29,1.83
ABBV,2022-04-29,0.56
ABBV,2022-02-02,0.84
ABBV,2021-10-29,3.52
ABBV,2021-07-30,2.57
ABBV,2021-04-30,4.26
ABBV,2021-02-03,2.42
ABBV,2020-10-30,2.32
ABBV,2020-07-31,6.36
ABBV,2020-05-01,7.66
ABNB,2026-05-07,
ABNB,2026-02-12,-13.76
ABNB,2025-11-06,-4.42
ABNB,2025-08-06,10.06
ABNB,2025-05-01,2.03
ABNB,2025-02-13,25.14
ABNB,2024-11-07,-0.23
ABNB,2024-08-06,-9.23
ABNB,2024-05-08,75.72
ABNB,2024-02-13,-178.56
ABNB,2023-11-01,215.68
ABNB,2023-08-03,24.58
ABNB,2023-05-09,82.28
ABNB,2023-02-14,45.75
ABNB,2022-11-01,19.42
ABNB,2022-08-02,30.53
ABNB,2022-05-03,94.2
ABNB,2022-02-15,89.35
ABNB,2021-11-04,48.83
ABNB,2021-08-12,59.16
ABNB,2021-05-14,-84.34
ABNB,2021-02-25,-288.43
ACN,2026-06-18,
ACN,2026-03-19,3.26
ACN,2025-12-18,4.27
ACN,2025-09-25,1.97
ACN,2025-06-20,5.03
ACN,2025-03-20,1.11
ACN,2024-12-19,5.12
ACN,2024-09-26,0.63
ACN,2024-06-20,-0.93
ACN,2024-03-21,4.05
ACN,2023-12-19,4.46
ACN,2023-09-28,2.86
ACN,2023-06-22,5.08
ACN,2023-03-23,-4.36
ACN,2022-12-16,5.3
ACN,2022-09-22,1.09
ACN,2022-06-23,2.31
ACN,2022-03-17,7.35
ACN,2021-12-16,5.79
ACN,2021-09-23,0.68
ACN,2021-06-24,7.32
ACN,2021-03-18,6.76
ACN,2020-12-17,5.95
ACN,2020-09-24,-1.98
ACN,2020-06-25,3.16
ADBE,2026-06-11,
ADBE,2026-03-12,3.18
ADBE,2025-12-10,1.9
ADBE,2025-09-11,2.48
ADBE,2025-06-12,1.71
ADBE,2025-03-12,2.17
ADBE,2024-12-11,3.01
ADBE,2024-09-12,2.49
ADBE,2024-06-13,1.92
ADBE,2024-03-14,2.23
ADBE,2023-12-13,3.17
ADBE,2023-09-14,3.06
ADBE,2023-06-15,3.22
ADBE,2023-03-15,2.17
ADBE,2022-12-15,2.72
ADBE,2022-09-15,1.66
ADBE,2022-06-16,1.31
ADBE,2022-03-22,0.78
ADBE,2021-12-16,0.04
ADBE,2021-09-21,3.11
ADBE,2021-06-17,7.55
ADBE,2021-03-23,12.68
ADBE,2020-12-10,5.66
ADBE,2020-09-15,6.56
ADBE,2020-06-11,5.68
AMD,2026-05-05,
AMD,2026-02-03,15.98
AMD,2025-11-04,10.04
AMD,2025-08-05,-0.55
AMD,2025-05-06,2.83
AMD,2025-02-04,0.36
AMD,2024-10-29,0.46
AMD,2024-07-30,1.26
AMD,2024-04-30,2.04
AMD,2024-01-30,-0.01
AMD,2023-10-31,3.59
AMD,2023-08-01,1.05
AMD,2023-05-02,6.5
AMD,2023-01-31,2.51
AMD,2022-11-01,-4.83
AMD,2022-08-02,1.37
AMD,2022-05-03,22.23
AMD,2022-02-01,21.38
AMD,2021-10-26,10.04
AMD,2021-07-27,16.95
AMD,2021-04-27,18.31
AMD,2021-01-26,9.46
AMD,2020-10-27,15.49
AMD,2020-07-28,8.78
AMD,2020-04-28,-2.32
AMGN,2026-04-30,
AMGN,2026-02-03,1.5
AMGN,2025-11-04,128.14
AMGN,2025-08-05,14.08
AMGN,2025-05-01,15.01
AMGN,2025-02-04,4.63
AMGN,2024-10-30,9.29
AMGN,2024-08-06,-0.62
AMGN,2024-05-02,1.83
AMGN,2024-02-06,2.58
AMGN,2023-10-31,5.9
AMGN,2023-08-03,11.27
AMGN,2023-04-27,3.27
AMGN,2023-01-31,-0.03
AMGN,2022-11-03,5.61
AMGN,2022-08-04,7.28
AMGN,2022-04-27,3.12
AMGN,2022-02-07,8.03
AMGN,2021-11-02,10.65
AMGN,2021-08-03,9.2
AMGN,2021-04-27,-8.46
AMGN,2021-02-02,13.85
AMGN,2020-10-28,16.41
AMGN,2020-07-28,12.79
AMGN,2020-04-30,11.25
AMZN,2026-04-29,
AMZN,2026-02-05,0.22
AMZN,2025-10-30,25.3
AMZN,2025-07-31,27.19
AMZN,2025-05-01,16.77
AMZN,2025-02-06,25.36
AMZN,2024-10-31,25.17
AMZN,2024-08-01,23.76
AMZN,2024-04-30,18.16
AMZN,2024-02-01,24.44
AMZN,2023-10-26,58.7
AMZN,2023-08-03,91.19
AMZN,2023-04-27,44.29
AMZN,2023-02-02,-82.2
AMZN,2022-10-27,35.53
AMZN,2022-07-28,-272.53
AMZN,2022-04-28,-190.58
AMZN,2022-02-03,657.12
AMZN,2021-10-28,-31.21
AMZN,2021-07-29,23.06
AMZN,2021-04-29,67.3
AMZN,2021-02-02,100.1
AMZN,2020-10-29,64.25
