Shares,URL,Text,Insider,Position,Transaction,Start Date,Ownership,Value,tic
10928,,,PAREKH KEVAN,Chief Financial Officer,,2026-04-15,D,,AAPL
1717,,,BORDERS BEN,Officer,,2026-04-15,D,,AAPL
30002,,Sale at price 255.12 - 255.82 per share.,O'BRIEN DEIRDRE,Officer,,2026-04-02,D,7660875.0,AAPL
64949,,Sale at price 251.25 - 256.00 per share.,COOK TIMOTHY D,Chief Executive Officer,,2026-04-02,D,16512198.0,AAPL
64317,,,O'BRIEN DEIRDRE,Officer,,2026-04-01,D,,AAPL
64317,,,KHAN SABIH,Chief Operating Officer,,2026-04-01,D,,AAPL
131576,,,COOK TIMOTHY D,Chief Executive Officer,,2026-04-01,D,,AAPL
60208,,,NEWSTEAD JENNIFER,General Counsel,,2026-03-13,D,,AAPL
1113,,Stock Gift at price 0.00 per share.,LEVINSON ARTHUR D,Director,,2026-02-26,D,0.0,AAPL
1113,,,LEVINSON ARTHUR D,Director,,2026-01-30,D,,AAPL
1255,,,SUGAR RONALD D,Director,,2026-01-30,D,,AAPL
1255,,,WAGNER SUSAN L,Director,,2026-01-30,D,,AAPL
1255,,,JUNG ANDREA,Director,,2026-01-30,D,,AAPL
1255,,,GORSKY ALEX,Director,,2026-01-30,D,,AAPL
1255,,,LOZANO MONICA C.,Director,,2026-01-30,D,,AAPL
1255,,,AUSTIN WANDA M,Director,,2026-01-30,D,,AAPL
3750,,Stock Gift at price 0.00 per share.,ADAMS KATHERINE L,General Counsel,,2025-11-12,D,0.0,AAPL
3752,,Sale at price 271.23 per share.,KONDO CHRISTOPHER,Officer,,2025-11-07,D,1017655.0,AAPL
4199,,Sale at price 245.89 - 248.73 per share.,PAREKH KEVAN,Chief Financial Officer,,2025-10-16,D,1038787.0,AAPL
16457,,,PAREKH KEVAN,Chief Financial Officer,,2025-10-15,D,,AAPL
7371,,,KONDO CHRISTOPHER,Officer,,2025-10-15,D,,AAPL
43013,,Sale at price 257.36 - 258.08 per share.,O'BRIEN DEIRDRE,Officer,,2025-10-02,D,11071078.0,AAPL
47125,,Sale at price 254.83 - 257.54 per share.,ADAMS KATHERINE L,General Counsel,,2025-10-02,D,12101154.0,AAPL
129963,,Sale at price 254.83 - 257.57 per share.,COOK TIMOTHY D,Chief Executive Officer,,2025-10-02,D,33375723.0,AAPL
92403,,,O'BRIEN DEIRDRE,Officer,,2025-10-01,D,,AAPL
92403,,,KHAN SABIH,Chief Operating Officer,,2025-10-01,D,,AAPL
92403,,,ADAMS KATHERINE L,General Counsel,,2025-10-01,D,,AAPL
277206,,,COOK TIMOTHY D,Chief Executive Officer,,2025-10-01,D,,AAPL
90000,,Sale at price 232.07 per share.,LEVINSON ARTHUR D,Director,,2025-08-28,D,20886300.0,AAPL
435,,Stock Gift at price 0.00 per share.,KONDO CHRISTOPHER,Officer,,2025-08-25,D,0.0,AAPL
34821,,Sale at price 223.20 per share.,O'BRIEN DEIRDRE,Officer,,2025-08-08,D,7772047.0,AAPL
4486,,Sale at price 208.19 per share.,KONDO CHRISTOPHER,Officer,,2025-05-12,D,933955.0,AAPL
4570,,Sale at price 206.00 per share.,PAREKH KEVAN,Chief Financial Officer,,2025-04-23,D,941420.0,AAPL
16458,,,PAREKH KEVAN,Chief Financial Officer,,2025-04-15,D,,AAPL
7373,,,KONDO CHRISTOPHER,Officer,,2025-04-15,D,,AAPL
38822,,Sale at price 221.68 - 224.62 per share.,ADAMS KATHERINE L,General Counsel,,2025-04-02,D,8683252.0,AAPL
35493,,Sale at price 223.48 - 225.03 per share.,WILLIAMS JEFFREY E,Chief Operating Officer,,2025-04-02,D,7950691.0,AAPL
108136,,Sale at price 221.77 - 224.76 per share.,COOK TIMOTHY D,Chief Executive Officer,,2025-04-02,D,24184658.0,AAPL
74535,,,O'BRIEN DEIRDRE,Officer,,2025-04-01,D,,AAPL
74535,,,ADAMS KATHERINE L,General Counsel,,2025-04-01,D,,AAPL
74535,,,WILLIAMS JEFFREY E,Chief Operating Officer,,2025-04-01,D,,AAPL
218568,,,COOK TIMOTHY D,Chief Executive Officer,,2025-04-01,D,,AAPL
1516,,Sale at price 226.35 per share.,LEVINSON ARTHUR D,Director,,2025-02-03,D,343147.0,AAPL
1516,,,LEVINSON ARTHUR D,Director,,2025-01-31,D,,AAPL
1516,,,SUGAR RONALD D,Director,,2025-01-31,D,,AAPL
1516,,,WAGNER SUSAN L,Director,,2025-01-31,D,,AAPL
1516,,,JUNG ANDREA,Director,,2025-01-31,D,,AAPL
1516,,,GORSKY ALEX,Director,,2025-01-31,D,,AAPL
1516,,,LOZANO MONICA C.,Director,,2025-01-31,D,,AAPL
1516,,,AUSTIN WANDA M,Director,,2025-01-31,D,,AAPL
100000,,Sale at price 248.61 - 251.10 per share.,WILLIAMS JEFFREY E,Chief Operating Officer,,2024-12-16,I,24997395.0,AAPL
200000,,Sale at price 224.68 - 229.28 per share.,LEVINSON ARTHUR D,Director,,2024-11-19,D,45464500.0,AAPL
4130,,Sale at price 228.87 per share.,KONDO CHRISTOPHER,Officer,,2024-11-18,D,945233.0,AAPL
8000,,Stock Gift at price 0.00 per share.,ADAMS KATHERINE L,General Counsel,,2024-11-05,D,0.0,AAPL
8115,,,KONDO CHRISTOPHER,Officer,,2024-10-15,D,,AAPL
59305,,Sale at price 226.52 per share.,MAESTRI LUCA,Chief Financial Officer,,2024-10-04,D,13433769.0,AAPL
61019,,Sale at price 226.72 - 227.13 per share.,O'BRIEN DEIRDRE,Officer,,2024-10-02,D,13843382.0,AAPL
61019,,Sale at price 223.79 - 227.24 per share.,ADAMS KATHERINE L,General Counsel,,2024-10-02,D,13802297.0,AAPL
59730,,Sale at price 226.80 - 227.22 per share.,WILLIAMS JEFFREY E,Chief Operating Officer,,2024-10-02,D,13550148.0,AAPL
223986,,Sale at price 223.75 - 226.57 per share.,COOK TIMOTHY D,Chief Executive Officer,,2024-10-02,D,50276355.0,AAPL
127282,,,O'BRIEN DEIRDRE,Officer,,2024-10-01,D,,AAPL
127282,,,ADAMS KATHERINE L,General Counsel,,2024-10-01,D,,AAPL
127282,,,WILLIAMS JEFFREY E,Chief Operating Officer,,2024-10-01,D,,AAPL
477301,,,COOK TIMOTHY D,Chief Executive Officer,,2024-10-01,D,,AAPL
127282,,,MAESTRI LUCA,Chief Financial Officer,,2024-10-01,D,,AAPL
