ticker,date,recommendation,conviction,sentiment_score,source_file
AAPL,2025-01-01,HOLD,Medium,0.016,AAPL_trade_recommendation_2025-01-01_20260422_020704.md
AAPL,2025-04-01,HOLD,Medium,0.601,AAPL_trade_recommendation_2025-04-01_20260422_020742.md
AAPL,2025-07-01,SELL,Medium,0.006,AAPL_trade_recommendation_2025-07-01_20260422_020824.md
AAPL,2025-10-01,HOLD,Medium,-0.237,AAPL_trade_recommendation_2025-10-01_20260422_012850.md
AAPL,2026-01-01,SELL,Medium,-0.237,AAPL_trade_recommendation_2026-01-01_20260422_020904.md
AAPL,2026-04-01,BUY,High,0.131,AAPL_trade_recommendation_2026-04-01_20260422_020946.md
ABBV,2025-01-01,HOLD,Medium,-0.845,ABBV_trade_recommendation_2025-01-01_20260422_021023.md
ABBV,2025-04-01,BUY,Medium,0.205,ABBV_trade_recommendation_2025-04-01_20260422_021105.md
ABBV,2025-07-01,BUY,Medium,-0.604,ABBV_trade_recommendation_2025-07-01_20260422_021149.md
ABBV,2025-10-01,BUY,Medium,-0.254,ABBV_trade_recommendation_2025-10-01_20260422_012929.md
ABBV,2026-01-01,SELL,Medium,-0.575,ABBV_trade_recommendation_2026-01-01_20260422_021239.md
ABBV,2026-04-01,SELL,Medium,-0.243,ABBV_trade_recommendation_2026-04-01_20260422_021320.md
ACN,2025-01-01,HOLD,Medium,-0.406,ACN_trade_recommendation_2025-01-01_20260422_021358.md
ACN,2025-04-01,HOLD,Medium,-0.414,ACN_trade_recommendation_2025-04-01_20260422_021437.md
ACN,2025-07-01,HOLD,Medium,-0.076,ACN_trade_recommendation_2025-07-01_20260422_021520.md
ACN,2025-10-01,HOLD,Medium,-0.347,ACN_trade_recommendation_2025-10-01_20260422_013011.md
ACN,2026-01-01,HOLD,Medium,-0.289,ACN_trade_recommendation_2026-01-01_20260422_021600.md
ACN,2026-04-01,SELL,High,-0.158,ACN_trade_recommendation_2026-04-01_20260422_021636.md
ADBE,2025-01-01,BUY,High,0.129,ADBE_trade_recommendation_2025-01-01_20260422_021717.md
ADBE,2025-04-01,BUY,High,0.073,ADBE_trade_recommendation_2025-04-01_20260422_021800.md
ADBE,2025-07-01,BUY,High,-0.133,ADBE_trade_recommendation_2025-07-01_20260422_021832.md
ADBE,2025-10-01,HOLD,Medium,0.004,ADBE_trade_recommendation_2025-10-01_20260422_013058.md
ADBE,2026-01-01,BUY,High,-0.062,ADBE_trade_recommendation_2026-01-01_20260422_021907.md
ADBE,2026-04-01,BUY,High,0.025,ADBE_trade_recommendation_2026-04-01_20260422_021945.md
AMZN,2025-01-01,HOLD,Medium,-0.036,AMZN_trade_recommendation_2025-01-01_20260422_022026.md
AMZN,2025-04-01,BUY,Medium,0.207,AMZN_trade_recommendation_2025-04-01_20260422_022108.md
AMZN,2025-07-01,SELL,Medium,-0.341,AMZN_trade_recommendation_2025-07-01_20260422_022145.md
AMZN,2025-10-01,HOLD,Medium,-0.533,AMZN_trade_recommendation_2025-10-01_20260422_013140.md
AMZN,2026-01-01,SELL,Medium,-0.179,AMZN_trade_recommendation_2026-01-01_20260422_022221.md
AMZN,2026-04-01,SELL,Medium,-0.477,AMZN_trade_recommendation_2026-04-01_20260422_022258.md
