ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
ABBV,2025-10-01,2025-10-01 10:34,Fierce Biotech,"BMS and Takeda dive into AI data pool, joining peers in collaborative push to unfold the future","Astex Pharmaceuticals, Bristol Myers Squibb, and Takeda are joining AbbVie and Johnson & Johnson in the Federated OpenFold3 Initiative, an AI program aimed at pooling data for drug discovery models. This collaboration, facilitated by the AI Structural Biology Network and Apheris’ federated computing platform, seeks to improve medicinal chemistry models by utilizing diverse data sets while protecting proprietary information. The initiative is being developed by Mohammed AlQuraishi, Ph.D.'s lab at Columbia University.",20251001T103400,2025-10-01 10:34:00,positive,0.7425,0.4931,0.2494,0.0081,0.7425,1.0,0.7425,1.0,1.0,1.0,1.0,0.7425
ABBV,2025-10-01,2025-10-01 03:39,BioSpace,Enanta Pharmaceuticals Announces Proposed Public Offering of Common Stock,"Enanta Pharmaceuticals, Inc. announced a proposed underwritten public offering of $50.0 million of its common stock, with an option for underwriters to purchase an additional $7.5 million. The offering is contingent on market conditions and other factors. J.P. Morgan, Jefferies, and Evercore ISI are acting as joint book-running managers.",20251001T033933,2025-10-01 03:39:33,positive,0.9356,0.8845,0.0511,0.0133,0.9356,1.0,0.9356,1.0,1.0,1.0,1.0,0.9356
ABBV,2025-10-01,2025-10-01 00:09,Investing.com,Avalo Therapeutics expands leadership with two senior appointments,"Avalo Therapeutics (NASDAQ:AVTX) has appointed Taylor Boyd as Chief Business Officer and Ashley Ivanowicz as Senior Vice President of Human Resources, expanding its leadership team. These appointments come as the company prepares for a key data readout in mid-2026 for its AVTX-009 treatment for hidradenitis suppurativa, and follow recent positive analyst coverage. The company granted significant stock options to both new appointees as an inducement to join.",20251001T000929,2025-10-01 00:09:29,negative,0.8549,-0.7215,0.8549,0.0118,0.1333,-1.0,-0.8549,1.0,1.0,1.0,1.0,-0.8549
ABBV,2025-10-01,2025-09-30 21:54,Reuters,US drugmakers rise after Trump announces Pfizer price cuts,"Shares of U.S. drugmakers rose after President Donald Trump announced that Pfizer would cut prescription drug prices in the Medicaid program in exchange for tariff relief, with expectations that other drugmakers will follow. This development is seen by analysts as a positive turning point for the sector, potentially removing the ""worst-case scenario"" concerns regarding drug pricing policies. Eli Lilly and other major pharmaceutical companies also saw their stock prices increase following these announcements and related discussions about accelerated drug reviews.",20250930T215400,2025-09-30 21:54:00,negative,0.9423,-0.9169,0.9423,0.0323,0.0254,-1.0,-0.9423,0.9799861963573795,1.35,1.0,1.3229813650824624,-1.2466453403172044
ABBV,2025-10-01,2025-09-30 18:55,NPR,"President announces TrumpRx website for drugs, and pricing deal with Pfizer","President Trump announced a deal with Pfizer to sell its drugs directly to consumers at discounted prices through a new federal website, TrumpRx.gov. This initiative aims to align U.S. drug prices with those in other developed countries, with Pfizer agreeing to charge the same price for new drugs globally and offer direct-to-consumer discounts of 50% on average. However, critics suggest the deal may be ""window dressing"" as discounts are based on high list prices and primarily benefit patients without insurance.",20250930T185500,2025-09-30 18:55:00,positive,0.6067,0.246,0.3607,0.0326,0.6067,1.0,0.6067,0.9522406671101445,1.0,1.0,0.9522406671101445,0.5777244127357247
ABBV,2025-10-01,2025-09-30 16:48,The Globe and Mail,"AbbVie, AMN Healthcare Services, LeMaitre, Waters Corporation, and Organon Shares Skyrocket, What You Need To Know","Shares of several pharmaceutical and healthcare-related companies, including AbbVie, AMN Healthcare Services, LeMaitre, Waters Corporation, and Organon, jumped following reports of a potential drug-pricing agreement between the White House and the pharmaceutical industry. The market's positive reaction suggests investors perceive this voluntary agreement as a resolution to regulatory uncertainty, despite the general headwind that price controls can present. The article also provides a detailed look into AMN Healthcare Services, highlighting its volatility and recent analyst downgrades.",20250930T164804,2025-09-30 16:48:04,neutral,0.4781,-0.1939,0.3579,0.4781,0.164,0.0,0.0,0.9330429719788815,1.0,1.0,0.9330429719788815,0.0
ABBV,2025-10-01,2025-09-30 16:47,Technology Networks,Alnylam Joins Genomic Alliance To Boost RNAi Drug Discovery,"Alnylam Pharmaceuticals has joined the Alliance for Genomic Discovery (AGD), a collaboration involving Illumina and Nashville Biosciences, to expand its clinical genomic dataset. As the ninth member, Alnylam will contribute to and utilize the AGD's extensive database to accelerate drug target discovery for RNA interference (RNAi) therapeutics. This partnership aims to leverage diverse genetic and clinical data to find new therapeutic targets, especially for patients from various backgrounds.",20250930T164755,2025-09-30 16:47:55,negative,0.7325,-0.4724,0.7325,0.0073,0.2601,-1.0,-0.7325,0.9330205161343422,1.0,1.0,0.9330205161343422,-0.6834375280684057
ABBV,2025-10-01,2025-09-30 15:08,Investing.com,Veeva Systems stock hits 52-week high at 296.99 USD,"Veeva Systems Inc. Class A stock reached a new 52-week high of $296.99, reflecting strong investor confidence and positive market sentiment. The company demonstrates excellent financial health with a 75.59% gross profit margin and 15.33% revenue growth, supported by recent partnerships with Bristol Myers Squibb and Gilead Sciences. Analyst firms like BNP Paribas Exane and Raymond James have reiterated Outperform ratings, underscoring the company's robust performance and strategic position in the pharmaceutical sector.",20250930T150853,2025-09-30 15:08:53,negative,0.9552,-0.9256,0.9552,0.0152,0.0296,-1.0,-0.9552,0.9183120152684927,1.0,1.0,0.9183120152684927,-0.8771716369844643
ABBV,2025-10-01,2025-09-30 07:00,PR Newswire,CollPlant Biotechnologies Announces Positive Results from non-clinical Studies of its Photocurable Regenerative Dermal and Soft Tissue Filler,"CollPlant Biotechnologies announced positive non-clinical study results for its photocurable regenerative dermal and soft tissue filler. The novel filler combines hyaluronic acid with rhCollagen for immediate contouring and long-lasting tissue regeneration, marking a significant step towards clinical trials. The company is now optimizing manufacturing to prepare for upcoming trials.",20250930T070000,2025-09-30 07:00:00,negative,0.9211,-0.8519,0.9211,0.0097,0.0692,-1.0,-0.9211,0.849030854668407,1.0,1.0,0.849030854668407,-0.7820423202350697
ABBV,2025-10-01,2025-09-29 00:00,BioPharma Dive,Genmab to acquire closely watched cancer drug in $8B Merus buyout,"Genmab is set to acquire Dutch biotechnology company Merus in an $8 billion deal, primarily for its late-stage cancer drug, petosemtamab. This drug has demonstrated potential in extending survival for head and neck cancer patients when combined with Keytruda, with Genmab projecting significant annual sales. The acquisition highlights Genmab's strategy to boost its pipeline with promising new therapies.",20250929T000000,2025-09-29 00:00:00,negative,0.9317,-0.8724,0.9317,0.0091,0.0593,-1.0,-0.9317,0.6299605249474366,1.0,1.0,0.6299605249474366,-0.5869342210935267
