ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
ADBE,2026-04-01,2026-04-01 23:38,Financial Times,Yum! Brands Appoints Former Marriott International CFO Kathleen (Leeny) K. Oberg to Board,"Yum! Brands, Inc. announced the appointment of Kathleen (Leeny) K. Oberg, former CFO and Executive Vice President, Development of Marriott International, Inc., to its Board of Directors, effective April 1, 2026. Ms. Oberg brings extensive experience in finance and development from her long tenure at Marriott and leadership roles at The Ritz-Carlton, Sodexo, Sallie Mae, Goldman Sachs, and Chase Manhattan Bank. This appointment is expected to provide valuable expertise in driving growth and financial discipline for Yum! Brands.",20260401T233849,2026-04-01 23:38:49,positive,0.8433,0.6991,0.1442,0.0125,0.8433,1.0,0.8433,1.0,1.25,1.0,1.25,1.054125
ADBE,2026-04-01,2026-04-01 20:07,EPAM,“AI is changing the game. But marketing still plays by old rules.”,"This article discusses how AI is transforming the marketing landscape, yet many marketing operations still adhere to outdated practices. David Billings, Chief Strategy Officer at Empathy Lab by EPAM, emphasizes the importance of orchestration over mere automation to integrate various marketing functions like brand, media, pricing, loyalty, and commerce for coherent decision-making and growth. The piece highlights how Empathy Lab's Growth OS helps CMOs operationalize AI, turning it into a repeatable engine for growth and enabling proactive customer orchestration.",20260401T200739,2026-04-01 20:07:39,positive,0.8203,0.6546,0.1657,0.0141,0.8203,1.0,0.8203,1.0,1.0,1.0,1.0,0.8203
ADBE,2026-04-01,2026-04-01 17:38,Bitget,Omnicom's Transformation Consultancy Strengthens Capabilities with the Launch of Unified Adobe Practice,"Omnicom (NYSE: OMC), through its transformation consultancy Credera, has launched a unified Adobe practice to enhance its enterprise marketing transformation capabilities. This new practice integrates LeapPoint, acquired by Omnicom in 2024, and will be led by former LeapPoint CEO Nik DeBenedetto. The initiative aims to help clients accelerate the value of their Adobe investments and drive sustainable revenue growth, with an official unveiling at the upcoming Adobe Summit.",20260401T173818,2026-04-01 17:38:18,negative,0.8724,-0.7515,0.8724,0.0066,0.121,-1.0,-0.8724,1.0,1.0,1.0,1.0,-0.8724
ADBE,2026-04-01,2026-04-01 15:38,The Globe and Mail,Software Stocks: Values or Traps?,"This article analyzes five popular software stocks—ServiceNow (NOW), Salesforce (CRM), Palantir (PLTR), Adobe (ADBE), and AppLovin (APP)—to determine if they represent value opportunities or potential traps after recent sell-offs. The author emphasizes that a stock's valuation depends on its earnings outlook and growth prospects, not just a price drop. The analysis considers various metrics like P/E ratios, PEG ratios, and earnings growth expectations to guide investors.",20260401T153835,2026-04-01 15:38:35,positive,0.8851,0.847,0.0381,0.0768,0.8851,1.0,0.8851,1.0,1.0,1.0,1.0,0.8851
ADBE,2026-04-01,2026-04-01 15:07,Investing.com India,Why is Adobe Systems stock declining today? By Investing.com,"Adobe Systems stock is declining due to ongoing negative sentiment from recent analyst downgrades and intensifying competitive pressure, particularly from free creative tools like Canva's Affinity suite. Despite a broader tech sector rally and a stable interest rate environment, Adobe's shares fell by 1.3%, highlighting specific investor concerns about its pricing power, AI-driven competition, and CEO succession. The company's inability to participate in the market's positive momentum underscores fundamental issues regarding its competitive positioning and AI monetization strategies.",20260401T150704,2026-04-01 15:07:04,neutral,0.9748,0.0092,0.008,0.9748,0.0172,0.0,0.0,1.0,1.0,1.0,1.0,0.0
ADBE,2026-04-01,2026-04-01 15:06,Simply Wall Street,Why Adobe's (NASDAQ:ADBE) Earnings Are Better Than They Seem,"Adobe's recent earnings appear better than initially perceived due to its strong accrual ratio of -0.28, indicating that its statutory earnings are significantly less than its free cash flow. This negative accrual ratio is considered a positive sign, as it demonstrates that the company's profits are well-backed by cash flow. Coupled with a 69% annual growth in earnings per share over the last three years, Adobe's underlying earnings potential is considered robust.",20260401T150656,2026-04-01 15:06:56,negative,0.9564,-0.9355,0.9564,0.0227,0.0209,-1.0,-0.9564,1.0,1.0,1.25,1.25,-1.1955
ADBE,2026-04-01,2026-04-01 14:55,Insider Monkey,Adobe Inc. (ADBE): Billionaire Ray Dalio Is Buying This Software Stock,"Billionaire Ray Dalio's Bridgewater Associates has significantly increased its stake in Adobe Inc. (ADBE), making it one of the top stocks in his portfolio. The hedge fund views Adobe favorably due to its ability to monetize AI through its established enterprise ecosystem, evidenced by a tripling of AI-first annual recurring revenue and successful implementation of generative credits in products like Photoshop and Illustrator. Adobe's AI-powered tools, such as Firefly and Express, have also seen record monthly active users, reinforcing its position as an AI era favorite among elite funds.",20260401T145500,2026-04-01 14:55:00,negative,0.942,-0.8968,0.942,0.0127,0.0452,-1.0,-0.942,1.0,1.0,1.0,1.0,-0.942
ADBE,2026-04-01,2026-04-01 14:37,TradingView,Software Stocks: Values or Traps?,"This article from Zacks Market Edge Podcast discusses whether several popular software stocks are currently values or traps after experiencing significant sell-offs. It examines ServiceNow (NOW), Salesforce (CRM), Palantir (PLTR), Adobe (ADBE), and AppLovin (APP), analyzing their P/E ratios, PEG ratios, and earnings growth expectations to determine their current investment potential. The author emphasizes looking at earnings outlook, not just price drops, to distinguish true value from a potential trap.",20260401T143729,2026-04-01 14:37:29,positive,0.9064,0.8761,0.0303,0.0633,0.9064,1.0,0.9064,1.0,1.0,1.0,1.0,0.9064
ADBE,2026-04-01,2026-04-01 13:58,Investing.com India,"Omnicom launches Adobe practice, integrates LeapPoint By Investing.com","Omnicom Group Inc. announced the launch of a new Adobe practice through its transformation consultancy, Credera, integrating its 2024 acquisition, LeapPoint. This move expands Omnicom's digital transformation capabilities and aims to help clients maximize their Adobe investments. The new practice will be presented at Adobe's Summit in April.",20260401T135816,2026-04-01 13:58:16,negative,0.7949,-0.5973,0.7949,0.0074,0.1976,-1.0,-0.7949,1.0,1.0,1.0,1.0,-0.7949
ADBE,2026-04-01,2026-04-01 13:54,Modern Healthcare,Elevance Health ‘ghost network’ lawsuit moves forward,"A lawsuit concerning Elevance Health's alleged ""ghost network"" for its Carelon Behavioral Health arm is progressing. The article, published on April 1, 2026, by Noah Tong, indicates that legal proceedings related to this issue are moving forward.",20260401T135400,2026-04-01 13:54:00,positive,0.8767,0.8174,0.0593,0.0639,0.8767,1.0,0.8767,1.0,1.0,1.2,1.2,1.05204
