ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
CVX,2026-04-01,2026-04-01 23:09,Bitget,Should You Consider Putting Money Into the Fidelity MSCI Energy Index ETF (FENY)?,"This article evaluates the Fidelity MSCI Energy Index ETF (FENY) as an investment option, highlighting its role in providing diversified, cost-effective exposure to the energy sector. It details FENY's fund specifics, including its low expense ratio, dividend yield, and major holdings like Exxon Mobil, while also comparing its performance and risk metrics against alternative energy ETFs. The piece concludes by suggesting resources for further investment research.",20260401T230925,2026-04-01 23:09:25,positive,0.7599,0.5283,0.2316,0.0085,0.7599,1.0,0.7599,1.0,1.0,1.0,1.0,0.7599
CVX,2026-04-01,2026-04-01 23:08,Sahm,"Gavin Newsom Hails Apple's '50 Years Of Innovation' As Tesla, Chevron, McKesson Leave California","Governor Gavin Newsom praised Apple Inc. on its 50th anniversary, highlighting its innovation while acknowledging that other major corporations like Tesla, Chevron, and McKesson have left California. These companies cited high operating costs, strict regulations, and the pursuit of more business-friendly environments in other states as reasons for their relocation. The article points to a growing tension between California's legacy of innovation and its current business climate, with several tech figures also scaling back their presence in the state.",20260401T230804,2026-04-01 23:08:04,neutral,0.9464,0.0301,0.0117,0.9464,0.0418,0.0,0.0,1.0,1.0,1.0,1.0,0.0
CVX,2026-04-01,2026-04-01 22:37,AD HOC NEWS,Chevron Corporation Stock: Integrated Energy Leader with Strong North American Footprint and Sustain,"Chevron Corporation is highlighted as a cornerstone in the global energy sector, particularly for North American investors due to its strong U.S. operations. The analysis focuses on Chevron's integrated business model, significant upstream assets in the Permian Basin and international projects, robust downstream operations, and strategic investments in low-carbon technologies. It also addresses the company's financial discipline, shareholder value initiatives, and key market risks.",20260401T223722,2026-04-01 22:37:22,negative,0.7511,-0.51,0.7511,0.0078,0.2411,-1.0,-0.7511,1.0,1.0,1.0,1.0,-0.7511
CVX,2026-04-01,2026-04-01 21:40,The Globe and Mail,Northland Securities Sticks to Its Buy Rating for CNH Industrial (CNH),"Northland Securities analyst Ted Jackson has reiterated a Buy rating for CNH Industrial (CNH) with a price target of $16.00, citing his strong track record. This follows CNH Industrial's recent earnings report which showed a quarterly revenue of $5.16 billion and a net profit of $86 million. While Barclays also issued a Buy rating, TipRanks – OpenAI maintained a Hold rating on the stock.",20260401T214049,2026-04-01 21:40:49,positive,0.8252,0.6813,0.1439,0.031,0.8252,1.0,0.8252,1.0,1.0,1.25,1.25,1.0315
CVX,2026-04-01,2026-04-01 21:22,AD HOC NEWS,Exxon Mobil Corporation Stock: Navigating Energy Sector Dynamics and Long-Term Value for Investors,"This article analyzes Exxon Mobil Corporation (XOM), a cornerstone of the global energy sector, examining its business model, competitive strengths, and financial health for North American investors. It highlights the company's integrated operations, dividend history, and relevance in pension funds and 401(k) plans, while also discussing market influences, risks, and open questions like commodity price volatility and energy transition challenges.",20260401T212253,2026-04-01 21:22:53,positive,0.8688,0.7496,0.1192,0.012,0.8688,1.0,0.8688,1.0,1.0,1.25,1.25,1.086
CVX,2026-04-01,2026-04-01 21:07,Stock Titan,"Chevron (CVX) CLO exercises options, sells 40,200 shares under 10b5-1 plan","Chevron's Chief Legal Officer, Pate R. Hewitt, exercised non-qualified stock options for 40,200 shares and subsequently sold them for $213.3049 per share on March 30, 2026, under a pre-arranged Rule 10b5-1 trading plan. These transactions resulted in a net sale of 40,200 shares for approximately $8.57 million. After the transactions, Hewitt directly held 8,638 shares, with additional indirect holdings through a 401(k) plan and family trusts.",20260401T210727,2026-04-01 21:07:27,positive,0.9429,0.9025,0.0404,0.0166,0.9429,1.0,0.9429,1.0,1.0,1.0,1.0,0.9429
CVX,2026-04-01,2026-04-01 19:39,AD HOC NEWS,Exxon Mobil Corporation Stock: Navigating Energy Sector Dynamics and Long-Term Value for Investors,"This article analyzes Exxon Mobil Corporation (XOM) for North American investors, highlighting its integrated business model across upstream, energy products, and specialty products. It emphasizes Exxon Mobil's competitive strengths, including a low-cost upstream portfolio, financial health with consistent dividend growth, and its relevance to North American portfolios due to U.S.-centric operations and energy security contributions. The analysis also addresses sector drivers, market influences, and risks such as commodity price volatility and regulatory shifts.",20260401T193910,2026-04-01 19:39:10,positive,0.7812,0.5727,0.2085,0.0103,0.7812,1.0,0.7812,1.0,1.0,1.25,1.25,0.9765
CVX,2026-04-01,2026-04-01 19:11,San Antonio Express-News,CPS Energy trial: Did it face price gouging or fail to prep in '21 winter storm?,"A trial is currently underway in Bexar County Courthouse to determine whether two natural gas suppliers, Houston Pipe Line Co. LP and Oasis Pipeline LP, charged ""unconscionable prices"" to CPS Energy during the 2021 winter storm. CPS Energy asserts these prices are unenforceable and violate public policy, while the suppliers claim CPS's aggressive purchasing strategies backfired and demand roughly $376 million, including interest. The case highlights the ongoing financial repercussions for CPS Energy and its customers, who are still paying a storm-related fee on their bills.",20260401T191107,2026-04-01 19:11:07,neutral,0.9516,0.0222,0.0131,0.9516,0.0353,0.0,0.0,1.0,1.0,1.0,1.0,0.0
CVX,2026-04-01,2026-04-01 18:40,Bitget,Venture Global Drops 9.3% During the Day as Volatility Spikes—What Lies Ahead for This Energy Stock?,"Venture Global (VG) stock dropped 9.26% in a single day due to significant selling pressure and a broader downturn in the energy sector, highlighted by Chevron's weakness and declining oil & gas ETFs. Despite no company-specific news, technical indicators suggest continued downward pressure, leading some traders to consider bearish options given the stock's proximity to critical support levels. Historical data shows VG often rebounds after sharp declines, but a cautious, defensive strategy is recommended for the short term.",20260401T184047,2026-04-01 18:40:47,neutral,0.9723,0.0053,0.0112,0.9723,0.0165,0.0,0.0,1.0,1.0,1.0,1.0,0.0
CVX,2026-04-01,2026-04-01 18:38,CP24,Oil shock manageable but prices reflect assumption that conflict will end soon: BMO,"BMO economists report that while the recent surge in oil prices due to an Iran war is notable, the global economy, particularly North America, is resilient enough to manage current levels. However, BMO Capital Markets notes that current prices largely reflect an expectation that the Middle East conflict will be resolved in the near term, with a risk premium likely to remain even after a resolution.",20260401T183800,2026-04-01 18:38:00,negative,0.8944,-0.8665,0.8944,0.0777,0.0279,-1.0,-0.8944,1.0,1.0,1.0,1.0,-0.8944
CVX,2026-04-01,2026-04-01 18:03,Bitget,Venture Global Drops 9.3% During the Day as Volatility Spikes—What Lies Ahead for This Energy Stock?,"Venture Global (VG) experienced a significant 9.26% drop in a single trading session, falling below $15 amidst broader energy sector weakness and increased volatility. Technical indicators suggest continued downward pressure, and analysts are recommending traders consider bearish options due to the stock trading near critical support levels. Despite short-term bearish sentiment, historical data shows VG often rebounds after sharp declines.",20260401T180300,2026-04-01 18:03:00,neutral,0.9762,0.0002,0.0118,0.9762,0.012,0.0,0.0,1.0,1.0,1.0,1.0,0.0
