ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
LLY,2025-04-01,2025-04-01 11:09,TradingView — Track All Markets,VHT ETF Holdings List — AMEX:VHT,"This article provides a detailed list of the top holdings for the Vanguard Health Care ETF (VHT) as of November 28, 2025. It includes information on the symbol, weight percentage, shares, and market value for each company held in the ETF. Key holdings include Eli Lilly and Company, AbbVie, Inc., and Johnson & Johnson.",20250401T110920,2025-04-01 11:09:20,positive,0.9533,0.9302,0.0231,0.0236,0.9533,1.0,0.9533,1.0,1.0,1.0,1.0,0.9533
LLY,2025-04-01,2025-04-01 01:54,Eli Lilly and Company,Statement: Lilly has no affiliation with hims & hers,"Eli Lilly and Company issued a statement clarifying that it has no affiliation with hims & hers. The company emphasized that its drug, Zepbound (tirzepatide), can be prescribed by any licensed healthcare professional, and provided information on patient eligibility for reduced costs for Zepbound, including options for insured and self-pay individuals.",20250401T015449,2025-04-01 01:54:49,positive,0.8318,0.675,0.1568,0.0113,0.8318,1.0,0.8318,1.0,1.0,1.0,1.0,0.8318
LLY,2025-04-01,2025-04-01 01:50,Technology Networks,DNA Vaccines Offer a New Path Beyond mRNA Technology,"IMUNON's PlaCCine platform, a DNA-based vaccine technology, is emerging as a potential alternative to mRNA vaccines for pandemic preparedness. The company's IMNN-101 candidate, designed for seasonal COVID-19, showed safety, robust immune response, and cross-reactivity against newer variants in a Phase I trial. IMUNON is seeking partnerships to advance IMNN-101 and explore PlaCCine's broader applications against other high-priority pathogens due to its stability, flexibility, and sustained cellular immunity.",20250401T015024,2025-04-01 01:50:24,negative,0.8124,-0.6329,0.8124,0.0081,0.1795,-1.0,-0.8124,1.0,1.0,1.0,1.0,-0.8124
LLY,2025-04-01,2025-04-01 01:50,Technology Networks,"Stacy Lindborg, PhD's Profile Page","This profile page details the career of Dr. Stacy R. Lindborg, the President, Chief Executive Officer, and Board Member at IMUNON, Inc. It highlights her extensive experience in the pharmaceutical and biotechnology industry, focusing on R&D, regulatory affairs, and executive management. The article also mentions her prior roles at BrainStorm Cell Therapeutics and Biogen, as well as her academic achievements and publications.",20250401T015024,2025-04-01 01:50:24,positive,0.916,0.8448,0.0712,0.0128,0.916,1.0,0.916,1.0,1.0,1.0,1.0,0.916
LLY,2025-04-01,2025-03-31 09:52,TradingView,XLV ETF Holdings List — AMEX:XLV,"This article provides a detailed list of the top holdings for the State Street Health Care Select Sector SPDR ETF (XLV) as of February 25, 2026. It includes key data such as each company's symbol, weight percentage, number of shares, and market value. The ETF's largest holdings include Eli Lilly and Company, Johnson & Johnson, and AbbVie, Inc.",20250331T095230,2025-03-31 09:52:30,positive,0.9518,0.9272,0.0246,0.0236,0.9518,1.0,0.9518,0.8728583447017718,1.0,1.0,0.8728583447017718,0.8307865724871464
LLY,2025-04-01,2025-03-31 08:30,PR Newswire,Halozyme Announces Bristol Myers Squibb Received Positive CHMP Opinion for the Subcutaneous Formulation of Opdivo® (nivolumab) with ENHANZE® Across Multiple Solid Tumor Indications,"Halozyme Therapeutics announced that Bristol Myers Squibb received a positive opinion from the CHMP for the subcutaneous formulation of Opdivo (nivolumab) with Halozyme’s ENHANZE® technology for multiple solid tumor indications. This recommendation is a significant step towards offering cancer patients a faster and more flexible treatment option in the European Union, with a decision on marketing authorization expected by June 2, 2025. The positive opinion is supported by results from the Phase 3 CheckMate -67T trial.",20250331T083000,2025-03-31 08:30:00,negative,0.913,-0.8342,0.913,0.0081,0.0788,-1.0,-0.913,0.8613802928218509,1.0,1.0,0.8613802928218509,-0.7864402073463499
LLY,2025-04-01,2025-03-31 07:15,Finviz,Which Healthcare Stock Is the Best Buy Right Now?,"This article evaluates three healthcare companies—Viking Therapeutics Inc. (VKTX), Absci Corp. (ABSI), and Elevance Health Inc. (ELV)—that are frequently appearing on investor watchlists. It discusses Viking's potential game-changer drug VK2735 in the GLP-1 weight loss market, Absci's AI-driven drug development despite rising losses, and Elevance Health as a defensive play with strong valuation and AI-driven growth potential. The author provides insights into the opportunities and risks associated with each stock for investors.",20250331T071500,2025-03-31 07:15:00,positive,0.8679,0.7468,0.1211,0.011,0.8679,1.0,0.8679,0.8510767300332499,1.0,1.0,0.8510767300332499,0.7386494939958576
LLY,2025-04-01,2025-03-31 03:50,The Globe and Mail,Tonix’s Experimental Non-Opioid Analgesic Treatment for Fibromyalgia Could Start Bringing Relief Later This Year,"Tonix Pharmaceuticals is developing TNX-102 SL, a non-opioid investigational drug for fibromyalgia, which could receive FDA approval as early as August 2025. This aims to address the significant unmet need for effective, non-addictive pain treatments for fibromyalgia, a chronic condition also increasingly being recognized in Long COVID patients. The market for chronic pain drugs, including fibromyalgia, is projected to grow substantially, and Tonix seeks to be a leader in this segment.",20250331T035055,2025-03-31 03:50:55,negative,0.8626,-0.7328,0.8626,0.0075,0.1299,-1.0,-0.8626,0.8236592954199403,1.0,1.0,0.8236592954199403,-0.7104885082292406
LLY,2025-04-01,2025-03-31 03:44,HealthCentral,A Stem Cell Therapy Advance May Show Promise in Type 1 Diabetes,"Sana Biotechnology is developing a new ""hypoimmune"" stem cell technology for Type 1 Diabetes (T1D) that aims to prevent the immune system from rejecting transplanted islet cells, thus eliminating the need for immunosuppressant drugs. Initial tests showed that engineered islet cells implanted in a T1D participant were alive and producing insulin four weeks later. This technology could make stem cell therapy more accessible and safer for a wider range of T1D patients who currently face risks from long-term immunosuppression.",20250331T034450,2025-03-31 03:44:50,negative,0.6878,-0.3858,0.6878,0.0103,0.3019,-1.0,-0.6878,0.8228557341480308,1.0,1.0,0.8228557341480308,-0.5659601739470156
LLY,2025-04-01,2025-03-29 03:38,Simply Wall Street,"Further weakness as Puma Biotechnology (NASDAQ:PBYI) drops 11% this week, taking five-year losses to 55%","Puma Biotechnology (NASDAQ:PBYI) shares dropped 11% this week, extending its five-year losses to 55%, despite a recent 13% gain in the last month. The company has moved from a loss to profitability during this period, which typically indicates a positive trend. However, a 1.8% revenue decline and the overall stock performance suggest the market may have expected stronger top-line growth.",20250329T033825,2025-03-29 03:38:25,neutral,0.9745,-0.0007,0.0131,0.9745,0.0124,0.0,0.0,0.5178332159048573,1.0,1.0,0.5178332159048573,0.0
