ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
META,2026-04-01,2026-04-01 22:08,BBC,Tech giant Oracle makes 'significant' job cuts,"Oracle has made ""significant"" job cuts, with an estimated 10,000 employees affected, according to senior managers and employees. The company, which declined to comment, has been heavily investing in AI and executives have previously stated that AI tools enable fewer employees to accomplish more work. While the cuts are not attributed to performance, they coincide with other tech companies also reducing staff this year.",20260401T220822,2026-04-01 22:08:22,neutral,0.9716,0.0126,0.0079,0.9716,0.0205,0.0,0.0,1.0,1.0,1.0,1.0,0.0
META,2026-04-01,2026-04-01 21:38,Bitget,HIVE’s Hidden Strategy Over 15 Years: Leveraging Mining Profits to Drive AI Growth,"HIVE Digital Technologies is strategically transitioning from Bitcoin mining to artificial intelligence by using mining profits to fund its AI infrastructure expansion. The company is quadrupling its liquid-cooled AI capacity, acquiring land for a new HPC platform, and securing AI contracts worth millions, all without shareholder dilution. This pivot positions HIVE for significant growth in the high-performance computing sector, although scaling demand to match capacity remains a key challenge.",20260401T213859,2026-04-01 21:38:59,negative,0.7984,-0.6045,0.7984,0.0078,0.1938,-1.0,-0.7984,1.0,1.0,1.15,1.15,-0.91816
META,2026-04-01,2026-04-01 21:38,TradingView,Meta Platforms Inc Class A Trade Ideas — BSESOF:FB2A,"This article compiles various trade ideas and technical analyses for Meta Platforms Inc. (FB2A, NASDAQ:META), offering diverse perspectives ranging from bullish long-term Elliott Wave structures targeting new highs, to potential short-term corrections and strategic entry/exit points. Analysts highlight Meta's strong fundamentals, AI investments, ad revenue recovery, and cost optimization efforts as key drivers, while also identifying critical support and resistance levels for traders. The consensus leans towards a robust long-term outlook, with several contributors providing specific price targets, stop-losses, and strategy suggestions.",20260401T213808,2026-04-01 21:38:08,negative,0.5353,-0.0812,0.5353,0.0106,0.4541,-1.0,-0.5353,1.0,1.0,1.0,1.0,-0.5353
META,2026-04-01,2026-04-01 21:07,Yahoo Finance UK,Advanced Micro Devices Inc. (AMD): Billionaire Ray Dalio Trims Stake,"Billionaire Ray Dalio's Bridgewater Associates has reportedly trimmed its stake in Advanced Micro Devices Inc. (AMD) by over 7% in the fourth quarter of 2025, despite previously increasing its holdings. AMD is considered a strategic alternative to NVIDIA by many hedge funds, with a significant catalyst being a $60 billion GPU supply agreement with Meta Platforms. While AMD shows potential, the article suggests that other AI stocks might offer greater upside and less downside risk.",20260401T210704,2026-04-01 21:07:04,negative,0.582,-0.5364,0.582,0.3723,0.0457,-1.0,-0.582,1.0,1.0,1.0,1.0,-0.582
META,2026-04-01,2026-04-01 20:44,TradingView,Meta Platforms Inc Class A Trade Ideas — BSESOF:FB2A,"This article compiles various trade ideas and technical analyses for Meta Platforms Inc. (FB2A, NASDAQ:META) from different traders on TradingView. The analyses cover potential long and short positions, key support and resistance levels, and insights from indicators like MACD and GEX, with several contributors offering price targets and strategies for navigating META's stock movements.",20260401T204417,2026-04-01 20:44:17,positive,0.9388,0.897,0.0418,0.0195,0.9388,1.0,0.9388,1.0,1.0,1.0,1.0,0.9388
META,2026-04-01,2026-04-01 20:08,TradingView,Meta Platforms Inc Class A Trade Ideas — BSESOF:FB2A,"This article compiles various trade ideas for Meta Platforms Inc Class A (FB2A) from several analysts on TradingView, covering both bullish and bearish perspectives ahead of its earnings report. Analysts discuss options strategies, technical patterns like rising wedges and double tops, insider selling, and potential impacts from events like the TikTok ban. The sentiment is mixed, with some analysts identifying significant upside potential due to undervalued assets and strategic investments, while others caution about bearish technical signals and insider selling.",20260401T200809,2026-04-01 20:08:09,neutral,0.7978,0.1396,0.0313,0.7978,0.1709,0.0,0.0,1.0,1.0,1.0,1.0,0.0
META,2026-04-01,2026-04-01 19:07,Insider Monkey,Advanced Micro Devices Inc. (AMD): Billionaire Ray Dalio Trims Stake,"Billionaire Ray Dalio's Bridgewater Associates decreased its stake in Advanced Micro Devices Inc. (AMD) by over 7% in the fourth quarter of 2025, despite previously re-establishing holdings in the semiconductor company. AMD, often seen as an alternative to NVIDIA, is attracting hedge fund interest due to a $60 billion GPU supply agreement with Meta Platforms and its competitive AI inference performance. The article notes that while AMD poses potential, some AI stocks may offer higher returns in a shorter timeframe.",20260401T190702,2026-04-01 19:07:02,neutral,0.9346,-0.0289,0.0472,0.9346,0.0183,0.0,0.0,1.0,1.0,1.0,1.0,0.0
META,2026-04-01,2026-04-01 18:39,Morningstar,"Q1 Stock Market: Down, but Plenty of Sectors in the Green","The first quarter of 2026 saw the broad stock market decline, but this masked significant gains in specific sectors like energy, basic materials, and industrials, as investors shifted from tech and growth stocks into value, small-caps, and dividend payers. This rotation was driven by fundamental concerns, such as the Iran war's impact on oil prices and AI's potential disruption, along with previously stretched valuations in leading tech firms. The shift led to value stock outperformance, particularly in energy and utilities, and a strong quarter for dividend strategies, notably the Morningstar Dividend Leaders Index.",20260401T183928,2026-04-01 18:39:28,neutral,0.832,-0.1151,0.1416,0.832,0.0264,0.0,0.0,1.0,1.0,1.25,1.25,0.0
META,2026-04-01,2026-04-01 18:07,AD HOC NEWS,Alphabet Inc. (Class C) Stock: Long-Term Strength Amid AI Investments and Market Dynamics,"Alphabet Inc. (Class C) stock demonstrates long-term strength, driven by strong growth potential from AI and cloud initiatives. The company's core business model relies on high-margin digital services, supported by continuous investments in AI infrastructure and strategic diversification. Despite regulatory scrutiny and competitive pressures, analysts maintain a positive outlook, emphasizing Alphabet's strong fundamentals and consistent innovation.",20260401T180746,2026-04-01 18:07:46,negative,0.9185,-0.846,0.9185,0.0089,0.0725,-1.0,-0.9185,1.0,1.0,1.0,1.0,-0.9185
META,2026-04-01,2026-04-01 17:10,Insider Monkey,Jim Cramer Calls Arm Holdings “One of the Most Important Companies in the Semiconductor Industry”,"Jim Cramer highlighted Arm Holdings as ""one of the most important companies in the semiconductor industry"" following its unveiling of a new in-house CPU for data centers, particularly for agentic AI workloads. Previously known for licensing chip architecture, Arm is now aiming for a larger share of the market, with expectations of its new chip business generating $15 billion in annual sales within five years. Despite a recent market pullback, the stock is still up 25% year-to-date, with Meta already a major customer.",20260401T171022,2026-04-01 17:10:22,negative,0.9016,-0.8112,0.9016,0.0079,0.0905,-1.0,-0.9016,1.0,1.0,1.0,1.0,-0.9016
