ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
MSFT,2026-04-01,2026-04-01 23:41,AD HOC NEWS,Rackspace Technology's Strategic Pivot Earns Industry Recognition,"Rackspace Technology has been honored with the 2026 CIO 100 Award, recognizing its successful transition from a traditional cloud provider to a specialist in AI and cybersecurity. The company is focused on accelerating client AI project deployment through partnerships and expanding its cybersecurity offerings for the UK public sector. This strategic pivot aims to strengthen its competitive position in niche markets.",20260401T234106,2026-04-01 23:41:06,negative,0.9412,-0.8925,0.9412,0.0102,0.0486,-1.0,-0.9412,1.0,1.0,1.0,1.0,-0.9412
MSFT,2026-04-01,2026-04-01 23:08,TipRanks,"Stock Market Today: SPY, QQQ Jump on Iran De-Escalation Hopes ahead of Trump’s Evening Address","U.S. equities, including the S&P 500 ETF (SPY) and Nasdaq 100 ETF (QQQ), rallied on Wednesday due to investor optimism over a potential U.S.-Iran ceasefire, despite conflicting statements from President Trump and Iran's Foreign Ministry. Communication services stocks led the gains, while energy stocks declined amid hopes for de-escalation, even as the Strait of Hormuz remained blocked. Trump was expected to give an address on the war, potentially outlining a timetable and criticizing NATO.",20260401T230854,2026-04-01 23:08:54,negative,0.7616,-0.7312,0.7616,0.208,0.0304,-1.0,-0.7616,1.0,1.0,1.0,1.0,-0.7616
MSFT,2026-04-01,2026-04-01 22:40,Simply Wall Street,Check Point Software Technologies (CHKP) Margin Expansion To 38.8% Tests Bearish EPS Decline Narrative,"Check Point Software Technologies (CHKP) closed FY 2025 with strong fourth-quarter results, including a net margin expansion to 38.8% on US$2.7 billion in revenue and 25% earnings growth over the past year. Despite this robust performance, analysts forecast a modest 1.4% annual EPS decline over the next three years and a decrease in profit margins to 29.1%. Investors are weighing the current impressive profitability against these more cautious future projections, especially given the stock trades at a 14.6x P/E, below industry averages, but with slower expected revenue growth compared to the broader market.",20260401T224054,2026-04-01 22:40:54,neutral,0.9554,-0.0113,0.028,0.9554,0.0167,0.0,0.0,1.0,1.0,1.15,1.15,0.0
MSFT,2026-04-01,2026-04-01 22:08,BBC,Tech giant Oracle makes 'significant' job cuts,"Oracle has made ""significant"" job cuts, with an estimated 10,000 employees affected, according to senior managers and employees. The company, which declined to comment, has been heavily investing in AI and executives have previously stated that AI tools enable fewer employees to accomplish more work. While the cuts are not attributed to performance, they coincide with other tech companies also reducing staff this year.",20260401T220822,2026-04-01 22:08:22,neutral,0.9716,0.0126,0.0079,0.9716,0.0205,0.0,0.0,1.0,1.0,1.0,1.0,0.0
MSFT,2026-04-01,2026-04-01 21:33,Simply Wall Street,Will Rockwell Automation's (ROK) ROKStudios Autonomy Push Reframe Its AI Disruption Narrative?,"Rockwell Automation's new ROKStudios video series highlights its focus on autonomous industrial operations, cyber resilience, and AI-enabled workflows, aiming to align its brand with customers' modernization challenges. This initiative comes amidst Jefferies' concerns about AI disruption potentially capping Rockwell's valuation despite its software moat. The article explores how this push for autonomy could either reinforce confidence in Rockwell's market positioning or raise questions about potential pricing power compression from new AI tools.",20260401T213337,2026-04-01 21:33:37,negative,0.6382,-0.3216,0.6382,0.0452,0.3166,-1.0,-0.6382,1.0,1.0,1.0,1.0,-0.6382
MSFT,2026-04-01,2026-04-01 21:16,AD HOC NEWS,Alphabet Inc. Class A Stock: Navigating AI Investments and Core Strengths in a Competitive Landscape,"Alphabet Inc. Class A continues to be a major player in tech, driven by its dominant search business and expanding AI capabilities. The company is investing heavily in AI, including custom TPUs and the Google AI Mode, to maintain its competitive edge and drive future growth despite increased capital expenditures. Investors should monitor upcoming earnings for insights into CapEx efficiency and the monetization of new AI features, as the company faces competition in a rapidly evolving tech sector.",20260401T211610,2026-04-01 21:16:10,negative,0.8322,-0.6719,0.8322,0.0075,0.1603,-1.0,-0.8322,1.0,1.0,1.0,1.0,-0.8322
MSFT,2026-04-01,2026-04-01 20:40,kapitalmarktexperten.de,iShares MSCI World ETF: Neue Berechnungsmethode naht,"The iShares MSCI World ETF, a significant global equity investment vehicle, is facing a methodological adjustment by MSCI which could change the weighting of heavily represented technology stocks. This adjustment, focusing on a new rounding method for free float, will be implemented in June 2026, with results announced on May 12, 2026. The change addresses the current high concentration of a few US tech giants like Nvidia, Apple, and Microsoft within the ETF.",20260401T204044,2026-04-01 20:40:44,positive,0.7588,0.5307,0.2281,0.0131,0.7588,1.0,0.7588,1.0,1.0,1.0,1.0,0.7588
MSFT,2026-04-01,2026-04-01 20:40,Mint,"CB Financial Services Inc Stock Live Price, Chart, Analysis, News & Forecast – Buy, Sell & Trade US Equities Today","This article provides a detailed financial overview of CB Financial Services Inc (CBFV), including its current stock price, 52-week range, key financial metrics like market cap, revenue, and dividend yield, and historical stock performance. It also lists top US stocks and offers insights on how to invest in US equities.",20260401T204039,2026-04-01 20:40:39,positive,0.9431,0.9083,0.0348,0.0221,0.9431,1.0,0.9431,1.0,1.0,1.0,1.0,0.9431
MSFT,2026-04-01,2026-04-01 20:18,24/7 Wall St.,GE Aerospace Is Down 14% This Month While Its $190 Billion Backlog Keeps Growing,"GE Aerospace (NYSE: GE) shares are down nearly 14% this month and 5% year-to-date, despite strong Q4 2025 revenue of $12.72 billion, a doubled free cash flow of $7.694 billion, and a $190 billion backlog. The bearish sentiment is primarily driven by recent geopolitical threats from the IRGC targeting several US tech and defense companies, including GE, rather than financial performance. Wall Street analysts maintain a strong buy rating with a $362 price target, contrasting with the bearish social media sentiment.",20260401T201850,2026-04-01 20:18:50,neutral,0.9722,0.0084,0.0097,0.9722,0.0181,0.0,0.0,1.0,1.0,1.0,1.0,0.0
MSFT,2026-04-01,2026-04-01 20:07,EPAM,“AI is changing the game. But marketing still plays by old rules.”,"This article discusses how AI is transforming the marketing landscape, yet many marketing operations still adhere to outdated practices. David Billings, Chief Strategy Officer at Empathy Lab by EPAM, emphasizes the importance of orchestration over mere automation to integrate various marketing functions like brand, media, pricing, loyalty, and commerce for coherent decision-making and growth. The piece highlights how Empathy Lab's Growth OS helps CMOs operationalize AI, turning it into a repeatable engine for growth and enabling proactive customer orchestration.",20260401T200739,2026-04-01 20:07:39,positive,0.8203,0.6546,0.1657,0.0141,0.8203,1.0,0.8203,1.0,1.0,1.0,1.0,0.8203
