ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
PEP,2026-01-01,2026-01-01 21:52,Law Commentary,PepsiCo and Walmart Face Class Action Alleging Soft Drink Price Coordination,"PepsiCo Inc. and Walmart Inc. are facing a proposed nationwide class action lawsuit alleging they coordinated prices for Pepsi-branded soft drinks, leading to higher prices for consumers at retailers other than Walmart. The lawsuit claims PepsiCo sold products to Walmart at lower effective prices and provided unshared promotional support, violating the Sherman Antitrust Act and state laws. Consumers assert these practices constitute vertical price fixing, limiting competition and increasing costs.",20260101T215230,2026-01-01 21:52:30,neutral,0.9402,0.032,0.0139,0.9402,0.0459,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PEP,2026-01-01,2026-01-01 21:38,ts2.tech,PepsiCo stock today: PEP slips into year-end close as Feb. 3 earnings set next test,"PepsiCo's stock (PEP) closed 2025 down 0.44% at $143.52, with investors now looking ahead to its Feb. 3 earnings report for 2026 guidance. The company anticipates 2%-4% organic revenue growth and 4%-6% core constant-currency EPS growth for 2026, driven by strategies focusing on affordability, innovation, and productivity savings. PepsiCo also plans to reduce SKUs and target significant core operating-margin expansion over the next three fiscal years.",20260101T213830,2026-01-01 21:38:30,neutral,0.972,0.0092,0.0094,0.972,0.0186,0.0,0.0,1.0,1.0,1.25,1.25,0.0
PEP,2026-01-01,2026-01-01 19:08,AD HOC NEWS,The Truth About The Coca-Cola Company: Is KO Stock Still Worth the Hype or Is It Tapped Out?,"This article examines whether The Coca-Cola Company (KO) stock is still a worthwhile investment, given its social media presence and financial performance. It highlights KO as a ""dividend machine"" and a stable, defensive income stock, rather than a high-growth ""meme-stock."" The piece concludes that while the brand's social clout is high, the stock is best suited for long-term investors seeking consistent dividends and stability.",20260101T190845,2026-01-01 19:08:45,positive,0.7193,0.4495,0.2698,0.011,0.7193,1.0,0.7193,1.0,1.0,1.0,1.0,0.7193
PEP,2026-01-01,2026-01-01 18:10,ts2.tech,Coca-Cola stock (KO) sits near $70 as New Year’s Day shuts markets — what Wall Street watches next,"Coca-Cola stock (KO) closed at $69.91 on the last trading day of 2025, with markets shut for New Year's Day. As a defensive consumer staples stock, its performance in early 2026 will indicate investor sentiment regarding growth, interest rates, and overall market volatility. Investors are awaiting Coca-Cola's Q4 and full-year earnings report, expected around February 10, which will include full-year 2026 guidance and details on its planned CEO handover.",20260101T181000,2026-01-01 18:10:00,neutral,0.6285,0.0709,0.1503,0.6285,0.2212,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PEP,2026-01-01,2026-01-01 17:08,AD HOC NEWS,PepsiCo Stock: Defensive Giant Tests Its Nerves As Growth Slows And Rates Bite,"PepsiCo's stock is currently in a state of market indecision, with its share price drifting sideways amidst concerns about slowing volume growth, consumer pushback on price hikes, and a high-rate environment. While the company's defensive resilience and dividend payouts have cushioned losses for long-term investors, the stock has underperformed the broader market, leading to questions about its future growth trajectory. Wall Street analysts remain cautiously constructive, viewing PepsiCo as a quality defensive holding but with limited upside in the current market.",20260101T170856,2026-01-01 17:08:56,neutral,0.9118,-0.0265,0.0574,0.9118,0.0309,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PEP,2026-01-01,2026-01-01 12:18,MarketBeat,Seascape Capital Management Makes New $4.33 Million Investment in Monster Beverage Corporation $MNST,"Seascape Capital Management has made a new $4.33 million investment in Monster Beverage Corporation (NASDAQ:MNST), acquiring 64,258 shares during the third quarter, representing 1.2% of its portfolio. This comes despite recent insider selling, with directors and insiders selling over $20 million worth of shares in the past 90 days. Analysts maintain a ""Moderate Buy"" rating for MNST with a consensus price target of $73.95, following the company's Q3 earnings beat.",20260101T121834,2026-01-01 12:18:34,negative,0.8244,-0.6578,0.8244,0.0091,0.1665,-1.0,-0.8244,1.0,1.0,1.0,1.0,-0.8244
PEP,2026-01-01,2026-01-01 10:36,MarketBeat,"Cantor Fitzgerald Investment Advisors L.P. Buys 9,450 Shares of PepsiCo, Inc. $PEP","Cantor Fitzgerald Investment Advisors L.P. significantly increased its stake in PepsiCo, acquiring an additional 9,450 shares in Q3, bringing their total holdings to 14,262 shares valued at approximately $2.00 million. PepsiCo has declared a quarterly dividend of $1.4225, annualized to $5.69, yielding 4.0%. Analysts currently maintain an average ""Hold"" rating for PEP, with an average price target of $158.75 compared to its recent trading price around $143.52.",20260101T103637,2026-01-01 10:36:37,negative,0.9143,-0.8444,0.9143,0.0157,0.07,-1.0,-0.9143,1.0,1.0,1.0,1.0,-0.9143
PEP,2026-01-01,2026-01-01 10:08,ts2.tech,Coca-Cola stock today: KO holds near $70 as Wall Street pauses for New Year’s Day,"Coca-Cola stock (KO) finished 2025 slightly lower at $69.91 per share, with U.S. markets closed for New Year’s Day. Investors are looking ahead to early-February earnings expectations and watching the $70 level when trading resumes. The stock gained about 12% in 2025 and is considered a defensive holding due to steady beverage sales and annual dividends.",20260101T100842,2026-01-01 10:08:42,neutral,0.9637,0.0016,0.0174,0.9637,0.019,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PEP,2026-01-01,2026-01-01 10:08,MarketBeat,"Eldred Rock Partners LLC Buys 8,013 Shares of PepsiCo, Inc. $PEP","Eldred Rock Partners LLC increased its stake in PepsiCo, Inc. (NASDAQ:PEP) by 11.9% in the third quarter, purchasing an additional 8,013 shares to hold a total of 75,444 shares valued at $10.595 million. This makes PepsiCo the 19th largest holding in their investment portfolio, representing about 2.6%. The company has also seen significant institutional interest from other firms and has an average ""Hold"" rating from analysts with an average price target of $158.75.",20260101T100841,2026-01-01 10:08:41,negative,0.9164,-0.8417,0.9164,0.009,0.0747,-1.0,-0.9164,1.0,1.0,1.0,1.0,-0.9164
PEP,2026-01-01,2025-12-31 21:08,AD HOC NEWS,The Truth About Keurig Dr Pepper Inc: Is KDP the Sleeper Stock You’re Sleeping On?,"This article explores whether Keurig Dr Pepper Inc (KDP) is an overlooked investment opportunity and a valuable consumer brand. It delves into KDP's market presence through its at-home coffee systems and diverse beverage portfolio, analyzing its quiet influence on social media and comparing it to giants like Coca-Cola and PepsiCo. The piece concludes that KDP is a reliable, consistent player, both as a lifestyle product for convenience and variety, and potentially as a ""steady builder"" stock for long-term investors.",20251231T210805,2025-12-31 21:08:05,positive,0.6385,0.2857,0.3528,0.0086,0.6385,1.0,0.6385,0.9727928130108074,1.0,1.0,0.9727928130108074,0.6211282111074005
PEP,2026-01-01,2025-12-31 13:15,MarketBeat,"JB Capital LLC Has $11.22 Million Holdings in PepsiCo, Inc. $PEP","JB Capital LLC increased its stake in PepsiCo, Inc. (NASDAQ:PEP) by 9.6% during the third quarter, bringing its total holdings to 79,903 shares valued at $11.22 million. Other institutional investors also adjusted their positions in the company. PepsiCo reported a slight earnings beat for the quarter with EPS of $2.29 and revenue of $23.94 billion, and announced a quarterly dividend of $1.4225 per share.",20251231T131542,2025-12-31 13:15:42,negative,0.9426,-0.9153,0.9426,0.0301,0.0273,-1.0,-0.9426,0.9017856647722097,1.0,1.0,0.9017856647722097,-0.8500231676142849
PEP,2026-01-01,2025-12-31 12:28,MarketBeat,"Moody Lynn & Lieberson LLC Purchases 12,658 Shares of PepsiCo, Inc. $PEP","Moody Lynn & Lieberson LLC increased its stake in PepsiCo, Inc. by 23.7% in the third quarter, acquiring an additional 12,658 shares to now own 65,955 shares valued at $9.263 million. Analysts have a mixed view on PepsiCo, with a consensus ""Hold"" rating and a target price of $158.75. The company recently declared a quarterly dividend of $1.4225 per share, offering an annualized yield of approximately 3.9%.",20251231T122831,2025-12-31 12:28:31,negative,0.395,-0.1315,0.395,0.3414,0.2635,-1.0,-0.395,0.8949843830805532,1.0,1.0,0.8949843830805532,-0.3535188313168185
PEP,2026-01-01,2025-12-31 12:08,MarketBeat,"Generate Investment Management Ltd Acquires 83,526 Shares of CocaCola Company (The) $KO","Generate Investment Management Ltd significantly increased its stake in Coca-Cola Company (NYSE:KO) by 75.1% in Q3, acquiring 83,526 shares to hold a total of 194,731 shares worth approximately $12.915 million. Other institutional investors also adjusted their positions in KO, which currently holds an average analyst ""Buy"" rating and offers a quarterly dividend of $0.51 per share. The article discusses recent analyst target raises and various sentiments influencing Coca-Cola's stock performance.",20251231T120811,2025-12-31 12:08:11,positive,0.646,0.3079,0.3381,0.0159,0.646,1.0,0.646,0.8920692559334168,1.0,1.0,0.8920692559334168,0.5762767393329873
PEP,2026-01-01,2025-12-31 11:45,MarketBeat,"Generate Investment Management Ltd Acquires Shares of 72,359 PepsiCo, Inc. $PEP","Generate Investment Management Ltd has acquired a new stake of 72,359 shares in PepsiCo, Inc. (NASDAQ:PEP) during the third quarter, valued at approximately $10.16 million. Analyst consensus suggests a ""Hold"" rating with an average target price of $158.75. PepsiCo has also declared a quarterly dividend of $1.4225 per share, representing an annualized yield of 3.9%.",20251231T114507,2025-12-31 11:45:07,positive,0.88,0.7762,0.1038,0.0162,0.88,1.0,0.88,0.888773753032413,1.0,1.0,0.888773753032413,0.7821209026685234
PEP,2026-01-01,2025-12-31 09:08,MarketBeat,"PepsiCo, Inc. $PEP Shares Acquired by Ascent Group LLC","Ascent Group LLC has significantly increased its stake in PepsiCo, acquiring an additional 11,420 shares to reach a total of 42,508 shares valued at approximately $5.97 million. This comes as PepsiCo declared a quarterly dividend of $1.4225 per share, resulting in an annualized yield of 3.9%, although its payout ratio is high at 108.17%. Analysts generally maintain a ""Hold"" rating on PepsiCo, with a consensus target price of $158.75, following a recent earnings beat where the company reported $2.29 EPS and $23.94 billion in revenue.",20251231T090813,2025-12-31 09:08:13,negative,0.9327,-0.8804,0.9327,0.015,0.0523,-1.0,-0.9327,0.8666784111543548,1.0,1.0,0.8666784111543548,-0.8083509540836668
PEP,2026-01-01,2025-12-31 03:08,AD HOC NEWS,The Truth About Kellanova (formerly Kellogg): Is This Snack Giant Still Worth Your Money?,"Kellanova, formerly Kellogg, has pivoted towards snacks and convenience foods, with cereal no longer being its primary focus. The stock (K) is considered a consumer-staples investment, offering steady dividends and long-term stability rather than rapid growth, making it suitable for risk-averse investors. Despite not being a ""meme-stock"" or dominant in viral trends, its strong brand power and global reach position it as a stable player in the food industry.",20251231T030819,2025-12-31 03:08:19,negative,0.5462,-0.1005,0.5462,0.0081,0.4457,-1.0,-0.5462,0.8180486151893371,1.0,1.0,0.8180486151893371,-0.44681815361641597
PEP,2026-01-01,2025-12-31 02:52,AD HOC NEWS,The Truth About Kellanova (formerly Kellogg): Is This Snack Giant Still Worth Your Money?,"This article evaluates Kellanova (formerly Kellogg) after its business split and name change, exploring whether the snack-focused company is a worthwhile investment. It discusses the strategic shift towards snacks, the stock's stability as a consumer-staples company, and the enduring power of its brands. The author concludes by advising potential investors whether it's a ""cop"" (worth buying) or ""drop"" (not worth buying) based on their investment goals.",20251231T025218,2025-12-31 02:52:18,positive,0.8804,0.7744,0.106,0.0136,0.8804,1.0,0.8804,0.8159490225519049,1.0,1.0,0.8159490225519049,0.7183615194546971
