ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
PG,2026-01-01,2026-01-01 23:08,AD HOC NEWS,Unilever plc: How a 100-Year Giant Is Re?Engineering the Consumer Goods Playbook,"Unilever plc is undergoing a significant transformation, re-engineering its consumer goods playbook to focus on data, sustainability, and premium brands. By rationalizing its brand portfolio, leveraging AI and advanced analytics for consumer intelligence, and embedding sustainability as a core design constraint, the company aims to drive faster growth and higher margins. This strategic shift positions Unilever plc as a platform orchestrating high-velocity, high-margin products, giving it a competitive edge against rivals like Procter & Gamble and Nestlé.",20260101T230848,2026-01-01 23:08:48,negative,0.8744,-0.7565,0.8744,0.0076,0.118,-1.0,-0.8744,1.0,1.0,1.0,1.0,-0.8744
PG,2026-01-01,2026-01-01 20:32,ts2.tech,P&G stock ends 2025 lower as Wall Street slips — what to watch before trading resumes,"Procter & Gamble shares ended 2025 down 0.5% at $143.31, mirroring a broader market slide in thin holiday trading. Investors are looking ahead to macroeconomic data like the Jan. 9 jobs report and Jan. 13 CPI, as well as P&G's fiscal second-quarter earnings call on Jan. 22 for clarity on demand, pricing power, and organic sales growth. The company also begins the new year with a leadership transition, as Shailesh Jejurikar takes over as CEO.",20260101T203256,2026-01-01 20:32:56,neutral,0.9679,0.0126,0.0097,0.9679,0.0223,0.0,0.0,1.0,1.0,1.0,1.0,0.0
PG,2026-01-01,2026-01-01 06:58,The Globe and Mail,Better Consumer Staples ETF: State Street's XLP vs. Fidelity's FSTA,"This article compares two consumer staples ETFs, State Street's XLP and Fidelity's FSTA, highlighting their similarities and differences. While both have identical expense ratios and target the U.S. consumer staples sector, XLP offers a slightly higher dividend yield and greater liquidity due to its larger assets under management and more concentrated portfolio. FSTA, on the other hand, provides broader diversification with a higher number of holdings.",20260101T065831,2026-01-01 06:58:31,negative,0.8809,-0.777,0.8809,0.0152,0.1039,-1.0,-0.8809,1.0,1.0,1.0,1.0,-0.8809
PG,2026-01-01,2026-01-01 01:43,ts2.tech,P&G stock slips on the year-end close — what to watch before Procter & Gamble’s Jan. 22 earnings,"Procter & Gamble (PG) stock fell 0.5% to $143.31 on the last trading day of 2025, amidst a broader market decline, ahead of key events including a CEO change on January 1st and the company's Q1 earnings report on January 22nd. Investors will be watching for updates on sales volumes, pricing, promotions, and input costs, as well as the new CEO's priorities on growth and capital returns. The article also highlights upcoming economic data releases in early January that could influence consumer staples valuations.",20260101T014310,2026-01-01 01:43:10,neutral,0.9719,0.0126,0.0077,0.9719,0.0203,0.0,0.0,1.0,1.0,1.25,1.25,0.0
PG,2026-01-01,2025-12-31 10:08,MarketBeat,Procter & Gamble Company (The) $PG Shares Sold by Calamos Advisors LLC,"Calamos Advisors LLC significantly reduced its stake in Procter & Gamble (NYSE:PG) during the third quarter, selling 49,583 shares and retaining 494,168 shares valued at approximately $75.93 million. This comes as multiple insiders, including CEO Gary A. Coombe and Susan Street Whaley, also sold substantial amounts of company stock. Despite the insider selling, P&G exceeded Q3 earnings expectations, reporting $1.99 EPS against an estimated $1.90, and announced a quarterly dividend of $1.0568 per share.",20251231T100823,2025-12-31 10:08:23,neutral,0.9564,-0.0118,0.0277,0.9564,0.0159,0.0,0.0,0.8750856546064544,1.0,1.0,0.8750856546064544,0.0
PG,2026-01-01,2025-12-31 08:08,BMI,P&G Home Products ad spends rise 21.5% in FY25 as profit grows,"Procter & Gamble Home Products saw a 19.1% increase in profit to Rs 683.29 crore for FY25, alongside a 3.4% rise in revenue from operations despite a nearly 2% dip in total income. The company significantly boosted its advertising and sales promotion expenses by 21.5% to Rs 930.03 crore, coinciding with higher profits. This growth occurred even as tax expenses decreased by 63%, contributing to the overall increase in profitability for the unlisted entity.",20251231T080843,2025-12-31 08:08:43,negative,0.9597,-0.941,0.9597,0.0217,0.0186,-1.0,-0.9597,0.8584437593075555,1.0,1.15,0.9872103232036887,-0.9474257471785801
PG,2026-01-01,2025-12-31 00:08,AD HOC NEWS,The Truth About Edgewell Personal Care: Is This “Boring” Brand Low?Key a Massive Win for Your Wa,"Edgewell Personal Care, the company behind brands like Schick, Banana Boat, and Wet Ones, is gaining quiet dominance in the personal care market, especially among Gen Z and Millennials who appreciate its product performance and accessible pricing. While not a flashy, viral brand, its products are consistently integrated into daily routines, leading to strong consumer loyalty. As an investment, Edgewell (EPC) represents a stable, ""boring-in-a-good-way"" option tied to everyday consumer activity, rather than a volatile meme stock.",20251231T000845,2025-12-31 00:08:45,positive,0.5538,0.1178,0.436,0.0102,0.5538,1.0,0.5538,0.7948156196107131,1.0,1.0,0.7948156196107131,0.4401688901404129
PG,2026-01-01,2025-12-30 21:09,AD HOC NEWS,Procter & Gamble Shares Attract Investors Seeking Stability,"Procter & Gamble (P&G) is drawing investor interest due to strong performance in India and a market shift towards defensive consumer staples as technology stocks cool. Despite some institutional profit-taking, many are increasing their stakes, signaling a ""Great Rebalancing."" The company's significant profit surge in India, driven by strategic investments and a lower tax burden, supports its premium valuation amidst a slowing global economy.",20251230T210907,2025-12-30 21:09:07,negative,0.9544,-0.9259,0.9544,0.0172,0.0284,-1.0,-0.9544,0.7722341924762699,1.0,1.0,0.7722341924762699,-0.737020313299352
PG,2026-01-01,2025-12-30 18:17,Finviz,3 Dividend-Paying Value Stocks to Buy Even if There's a Stock Market Sell-Off in 2026,"This article identifies three dividend-paying value stocks—Realty Income (O), Chevron (CVX), and Procter & Gamble (PG)—that are recommended for their stable cash flows and ability to weather stock market downturns. Each company has a strong track record of consistent dividend payments and possesses characteristics that make them resilient during economic uncertainty. The author emphasizes focusing on companies with ample free cash flow to comfortably cover dividend payouts.",20251230T181713,2025-12-30 18:17:13,positive,0.591,0.1923,0.3987,0.0103,0.591,1.0,0.591,0.7512258813118629,1.0,1.0,0.7512258813118629,0.4439744958553109
PG,2026-01-01,2025-12-30 17:16,ts2.tech,P&G stock slips as consumer staples lag — what Wall Street is watching next,"Procter & Gamble (P&G) shares experienced a 0.6% slip in midday trading, mirroring a dip in the broader consumer-staples sector. Investors are looking towards the company's fiscal Q2 earnings call on January 22nd for new catalysts, as the stock's performance this year has shown sensitivity to rising bond yields. Key factors Wall Street will be watching include price/mix, volumes, promotional activities post-holidays, input costs, and foreign exchange impacts.",20251230T171630,2025-12-30 17:16:30,neutral,0.9694,0.0062,0.0122,0.9694,0.0184,0.0,0.0,0.7439429462333124,1.0,1.0,0.7439429462333124,0.0
