ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
TSLA,2025-07-01,2025-07-01 22:09,The Globe and Mail,Short Tesla? Try CRSH for a Huge Yield Instead.,"This article suggests an alternative to directly shorting Tesla's stock (NASDAQ: TSLA) due to its high risk. It introduces Tidal's YieldMax Short TSLA Option Income Strategy ETF (NYSEMKT: CRSH), which aims to profit from Tesla's declines while generating income through options. Although CRSH boasts a high distribution rate, a significant portion comes from return of capital (ROC) rather than actual income, resulting in a low SEC yield and NAV decay.",20250701T220905,2025-07-01 22:09:05,positive,0.8842,0.7919,0.0924,0.0234,0.8842,1.0,0.8842,1.0,1.0,1.0,1.0,0.8842
TSLA,2025-07-01,2025-07-01 21:33,Stock Titan,Navitas Expands 200mm GaN Production: Major Push into AI Data Centers and EV Markets,"Navitas Semiconductor announced a strategic partnership with Powerchip Semiconductor Manufacturing Corporation (PSMC) to begin 200mm GaN-on-silicon technology production at Powerchip's Fab 8B in Taiwan. This collaboration aims to meet the growing demand for GaN in 48V infrastructure, AI data centers, and EVs, utilizing an improved 180nm CMOS process. Initial qualification is expected in Q4 2025, with 100V family production starting in the first half of 2026, and 650V devices transitioning from TSMC to Powerchip over the following 12-24 months.",20250701T213351,2025-07-01 21:33:51,negative,0.8268,-0.6605,0.8268,0.0069,0.1663,-1.0,-0.8268,1.0,1.0,1.0,1.0,-0.8268
TSLA,2025-07-01,2025-07-01 21:04,24/7 Wall St.,Here’s Why Gold (GLD) and Silver (SLV) Are Soaring,"Gold (GLD) and silver (SLV) have significantly outperformed the S&P 500 in the first half of 2025, driven by market uncertainty and a weakening U.S. dollar. This outperformance suggests precious metals are acting as a safe haven, and continuous dollar decline could further fuel their rally. Investors are advised to consider a diversified portfolio including both stocks and precious metals ETFs (GLD, SLV) to hedge against ongoing market volatility.",20250701T210425,2025-07-01 21:04:25,negative,0.4525,-0.052,0.4525,0.1471,0.4004,-1.0,-0.4525,1.0,1.0,1.0,1.0,-0.4525
TSLA,2025-07-01,2025-07-01 14:16,Nasdaq,Tuesday's ETF with Unusual Volume: BFRZ,"The Innovator Equity Managed 100 Buffer ETF (BFRZ) experienced unusually high trading volume on Tuesday afternoon, with over 511,000 shares traded compared to its three-month average of 27,000. While BFRZ shares traded flat, key components like Nvidia and Tesla saw significant trading volume and declines, while Snap and GE Vernova showed mixed performance.",20250701T141600,2025-07-01 14:16:00,neutral,0.9583,-0.0166,0.0291,0.9583,0.0126,0.0,0.0,1.0,1.0,1.0,1.0,0.0
TSLA,2025-07-01,2025-07-01 14:01,CnEVPost,"China EV insurance registrations for week ending Jun 29: Nio 3,790, Tesla 20,680, Xiaomi 9,090","Major electric vehicle (EV) manufacturers in China, including Nio, Tesla, Xpeng, and Xiaomi, largely experienced an increase in insurance registrations during the week of June 23-29, 2025, as deliveries typically rise towards month-end. Nio Inc (including Nio, Onvo, and Firefly brands) saw 6,300 registrations, while Tesla recorded 20,680, and Xiaomi hit a record 9,090 registrations. Li Auto and BYD, however, experienced slight decreases in registrations for the same period.",20250701T140100,2025-07-01 14:01:00,neutral,0.7955,-0.0783,0.1414,0.7955,0.0631,0.0,0.0,1.0,1.0,1.0,1.0,0.0
TSLA,2025-07-01,2025-07-01 09:08,Investing.com,Grande Group shares begin trading at $5.90 after IPO priced at $5,"Grande Group Limited (NASDAQ: GRAN) began trading on the Nasdaq Capital Market at $5.90 per share after its initial public offering was priced at $5.00 per share. The Hong Kong-based financial services provider issued 1,875,000 Class A ordinary shares, expecting gross proceeds of approximately $9.375 million. The company also granted underwriters an option to purchase an additional 281,250 Class A ordinary shares.",20250701T090847,2025-07-01 09:08:47,positive,0.8588,0.7283,0.1305,0.0107,0.8588,1.0,0.8588,1.0,1.0,1.0,1.0,0.8588
TSLA,2025-07-01,2025-06-30 22:46,Discovery Alert,Ioneer's Rhyolite Ridge: Leading US Lithium-Boron Project,"Ioneer's Rhyolite Ridge project in Nevada is highlighted as a strategic critical mineral development, uniquely positioned to produce both lithium and boron. With 70% engineering complete, a substantial Department of Energy loan commitment, and ongoing efforts to secure an equity partner, the project is advancing to become a cornerstone of North America's battery supply chain. Its dual-commodity production model provides economic stability and places it in the lowest quartile of the global lithium cost curve.",20250630T224624,2025-06-30 22:46:24,negative,0.9076,-0.8261,0.9076,0.011,0.0815,-1.0,-0.9076,0.9882602804407344,1.0,1.0,0.9882602804407344,-0.8969450305280106
TSLA,2025-07-01,2025-06-30 04:22,Sahm,'Tesla Has The Robot And The Customer': Dave Mazza's HUMN ETF Makes A Calculated Bet On Optimus,"Dave Mazza, CEO of Roundhill Investments, discusses how the Roundhill Humanoid Robotics ETF (HUMN) offers investors exposure to the burgeoning humanoid robotics market, which Morgan Stanley projects to reach $5 trillion by 2050. Mazza highlights the convergence of labor shortages, declining AI costs, and Robots-as-a-Service pricing as key drivers, making humanoid robotics an investable theme now. HUMN is an actively managed ETF that includes Tesla as its largest holding, aiming to navigate the fast-evolving frontier tech landscape and global robotics value chain.",20250630T042244,2025-06-30 04:22:44,positive,0.7031,0.4163,0.2868,0.0101,0.7031,1.0,0.7031,0.8278748333973416,1.0,1.0,0.8278748333973416,0.5820787953616708
TSLA,2025-07-01,2025-06-27 22:49,Yahoo Finance,Li Auto Just Slashed Its Forecast--But It's Betting Big on One Make-or-Break EV Launch,"Li Auto has significantly reduced its Q2 delivery guidance, expecting to ship 108,000 vehicles instead of the previously estimated 123,000-128,000. This revision is not due to slumping demand but rather a temporary disruption caused by an internal sales system overhaul. The company is strategically preparing for the launch of its new Li i8 model, aiming to streamline operations for a stronger performance in the latter half of 2025.",20250627T224949,2025-06-27 22:49:49,neutral,0.9692,0.0084,0.0112,0.9692,0.0196,0.0,0.0,0.4944010999292662,1.0,1.0,0.4944010999292662,0.0
TSLA,2025-07-01,2025-06-27 22:09,CryptoNinjas,Bakkt Eyes $1B Crypto Push—Could Overtake Coinbase in Bitcoin Holdings,"Bakkt Holdings has filed a $1 billion shelf offering with the SEC, indicating a strategic shift towards acquiring significant Bitcoin holdings as part of its corporate treasury strategy. If fully deployed, this capital could allow Bakkt to purchase over 9,300 BTC, potentially surpassing Coinbase's current Bitcoin reserves and positioning Bakkt among major institutional BTC holders. This move, driven by new leadership and an updated investment policy, aims to transform Bakkt into a pure-play crypto infrastructure company, despite acknowledging significant risks like BTC volatility and regulatory uncertainty.",20250627T220933,2025-06-27 22:09:33,negative,0.9344,-0.8781,0.9344,0.0094,0.0562,-1.0,-0.9344,0.491217161733141,1.0,1.0,0.491217161733141,-0.45899331592344694
