ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
UNH,2026-04-01,2026-04-01 20:48,Investopedia,UnitedHealth Stock Has Lost Nearly Half Its Value in the Last Year. This Analyst Says It's Time to Buy.,"UnitedHealth Group's stock has been upgraded to ""outperform"" by Raymond James analysts, who believe its significant slump over the past year presents an ""attractive entry point"" for investors. Despite recent struggles due to scandals, high healthcare costs, and investigations into billing practices, analysts see potential for a rebound. They suggest UnitedHealth can improve margins and cut costs through AI and acquisitions.",20260401T204858,2026-04-01 20:48:58,negative,0.927,-0.908,0.927,0.0539,0.019,-1.0,-0.927,1.0,1.0,1.0,1.0,-0.927
UNH,2026-04-01,2026-04-01 20:39,TechTarget,Cancer screening rates dip in US as cost concerns deter access,"A new survey by the Prevent Cancer Foundation indicates that nearly three-quarters of U.S. adults are behind on routine cancer screenings, a 4% increase from the previous year. Financial strain, particularly concerns about unexpected costs and potential follow-up tests, is a major contributing factor, even though initial screenings are often covered as preventive care. Additionally, a lack of patient education, logistical barriers, and flagging trust in the healthcare industry are also hindering screening rates.",20260401T203920,2026-04-01 20:39:20,neutral,0.9719,0.0059,0.0111,0.9719,0.017,0.0,0.0,1.0,1.0,1.0,1.0,0.0
UNH,2026-04-01,2026-04-01 20:29,MarketBeat,"JPMorgan Chase & Co. Cuts McCormick & Company, Incorporated (NYSE:MKC) Price Target to $64.00","JPMorgan Chase & Co. has lowered its price target for McCormick & Company, Incorporated (NYSE:MKC) to $64.00 from $67.00, while maintaining an ""overweight"" rating. This adjustment aligns with a consensus target of $64.27 among analysts. Despite beating Q1 earnings estimates and strong revenue growth, MKC shares dropped 4.5% due to various concerns including potential shareholder dilution from a planned combination with Unilever's foods business, widespread analyst target cuts, and recent insider selling.",20260401T202908,2026-04-01 20:29:08,neutral,0.9718,0.0068,0.0107,0.9718,0.0175,0.0,0.0,1.0,1.0,1.0,1.0,0.0
UNH,2026-04-01,2026-04-01 20:07,Hospice News,How Hospices Can Work with ‘Payviders’,"Hospices need to understand and align with ""payviders"" – insurance companies that also own healthcare provider businesses – as this model grows. Companies like Humana, UnitedHealth Group, and SCAN Group are examples of payviders, which aim to reduce healthcare fragmentation and improve care coordination. Hospices should prepare for increased financial alignment and accountability for outcomes when partnering with these entities, emphasizing close coordination, especially with primary care physicians.",20260401T200759,2026-04-01 20:07:59,positive,0.525,0.0628,0.4622,0.0129,0.525,1.0,0.525,1.0,1.0,1.0,1.0,0.525
UNH,2026-04-01,2026-04-01 16:08,TradingView,UnitedHealth Stock Rises on Raymond James Upgrade,"UnitedHealth (UNH) shares rose after Raymond James upgraded the company to Outperform, setting a $330 price target. Analyst John Ransom projects that AI initiatives and margin improvements in Optum Health could lead to earnings per share exceeding consensus estimates by 7.5-8% in 2027 and 2028. The stock trades in line with peers but at a discount to its historical valuation.",20260401T160846,2026-04-01 16:08:46,negative,0.9465,-0.9235,0.9465,0.0304,0.0231,-1.0,-0.9465,1.0,1.0,1.15,1.15,-1.0884749999999999
UNH,2026-04-01,2026-04-01 15:26,Insider Monkey,UnitedHealth Group Incorporated (UNH): Billionaire Paul Tudor Jones Is Loading Up on This Stock,"UnitedHealth Group (NYSE: UNH) is a significant holding in billionaire Paul Tudor Jones's Tudor Investment Corp, with the fund recently increasing its stake by over 13,000%. The company is actively investing $1.6 billion in AI for 2026 to improve Optum margins and automate claims, and it is currently trading at a lower Forward P/E ratio compared to its historical average, making it an attractive option for institutional investors.",20260401T152653,2026-04-01 15:26:53,positive,0.5497,0.1923,0.3574,0.0929,0.5497,1.0,0.5497,1.0,1.0,1.0,1.0,0.5497
UNH,2026-04-01,2026-04-01 15:08,GuruFocus,UnitedHealth Stock Rises on Raymond James Upgrade,"UnitedHealth Group's stock rose after Raymond James upgraded it to Outperform, setting a $330 price target. Analyst John Ransom foresees earnings per share for 2027 and 2028 exceeding consensus estimates by approximately 7.5% and 8%, respectively, driven by potential AI initiatives reducing operating costs and margin improvements in Optum Health. The company's valuation is considered in line with peers but at a discount to its historical earnings multiples.",20260401T150841,2026-04-01 15:08:41,negative,0.9331,-0.912,0.9331,0.0458,0.0211,-1.0,-0.9331,1.0,1.0,1.15,1.15,-1.073065
UNH,2026-04-01,2026-04-01 12:41,The Globe and Mail,"Analysts Offer Insights on Healthcare Companies: Centessa Pharmaceuticals (CNTA), UnitedHealth (UNH) and Adagio Medical Holdings (ADGM)","Analysts have recently provided updated ratings for several healthcare companies. Centessa Pharmaceuticals (CNTA) was downgraded to Hold by Stephens and Needham, despite a Strong Buy consensus with a significant upside potential. Meanwhile, UnitedHealth (UNH) maintained a Buy rating from Bernstein, and Adagio Medical Holdings (ADGM) received a reiterated Buy rating from Lake Street.",20260401T124116,2026-04-01 12:41:16,positive,0.5148,0.3057,0.2091,0.2762,0.5148,1.0,0.5148,1.0,1.0,1.0,1.0,0.5148
UNH,2026-04-01,2026-04-01 12:03,24/7 Wall St.,"Here Are Wednesday’s Top Wall Street Analyst Research Calls: Boeing, Datadog, Disney, Formula One Group, Nike, Rivian, Rocket Lab, ServiceNow, and More","This article compiles top Wall Street analyst research calls from Wednesday, April 1, 2026, including upgrades for Formula One Group, Rivian, United Health Group, Disney, and Wells Fargo. Downgrades include Apellis Pharmaceutical, Centessa Pharmaceuticals, First Citizens Bancshares, Nike, and PPG Industries, while Boeing, Datadog, Northrop Grumman, Rocket Lab, and ServiceNow received new ""Buy"" or ""Overweight"" initiations. The report also provides a market overview, noting a rally driven by hopes for an end to the Iran war and significant movements in various asset classes like stocks, bonds, oil, gold, and cryptocurrency.",20260401T120310,2026-04-01 12:03:10,positive,0.7631,0.5494,0.2136,0.0233,0.7631,1.0,0.7631,1.0,1.0,1.0,1.0,0.7631
UNH,2026-04-01,2026-04-01 10:08,Investing.com,Leerink sees UnitedHealth stock facing largest RADV audit exposure,"Leerink's report indicates that the Centers for Medicare & Medicaid Services (CMS) is significantly expanding its 2020 Risk Adjustment Data Validation (RADV) audits, reviewing 470 Medicare Advantage contracts compared to 58 in 2018. UnitedHealth Group (NYSE:UNH) faces the most substantial exposure, with 60 contracts covering 92% of its 2020 Medicare Advantage membership under review. All publicly traded Medicare Advantage plans are included in these expanded audits, which will begin processing in April 2025.",20260401T100852,2026-04-01 10:08:52,negative,0.8547,-0.7559,0.8547,0.0466,0.0988,-1.0,-0.8547,1.0,1.0,1.0,1.0,-0.8547
