ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
WMT,2026-01-01,2026-01-01 23:09,Benzinga,"EMCOR Group (EME) Stock Price, Quote, News & History","This article provides a comprehensive overview of EMCOR Group (EME) stock, including its current price, key financial statistics, and recent news. It details analyst ratings, dividend information, and comparisons with competitors in the Construction & Engineering industry. The company operates as a specialty contractor and provider of electrical, mechanical, and facilities services.",20260101T230922,2026-01-01 23:09:22,positive,0.9502,0.9215,0.0287,0.0211,0.9502,1.0,0.9502,1.0,1.0,1.0,1.0,0.9502
WMT,2026-01-01,2026-01-01 21:52,Law Commentary,PepsiCo and Walmart Face Class Action Alleging Soft Drink Price Coordination,"PepsiCo Inc. and Walmart Inc. are facing a proposed nationwide class action lawsuit alleging they coordinated prices for Pepsi-branded soft drinks, leading to higher prices for consumers at retailers other than Walmart. The lawsuit claims PepsiCo sold products to Walmart at lower effective prices and provided unshared promotional support, violating the Sherman Antitrust Act and state laws. Consumers assert these practices constitute vertical price fixing, limiting competition and increasing costs.",20260101T215230,2026-01-01 21:52:30,neutral,0.9402,0.032,0.0139,0.9402,0.0459,0.0,0.0,1.0,1.0,1.0,1.0,0.0
WMT,2026-01-01,2026-01-01 18:08,WDAM-TV,"‘Operation Naughty List’: Dozens arrested at Target, Walmart stores in retail theft crackdown","In ""Operation Naughty List,"" North Carolina authorities arrested 78 people and issued 154 charges for retail theft at Target and Walmart stores. Undercover officers helped identify thefts in real-time between November 28 and December 19, 2025. The operation recovered over $4,300 in merchandise and also seized illegal drugs.",20260101T180811,2026-01-01 18:08:11,neutral,0.7337,0.2097,0.0283,0.7337,0.238,0.0,0.0,1.0,1.0,1.0,1.0,0.0
WMT,2026-01-01,2026-01-01 17:54,Finviz,Bullseye Bounce: Toms Capital Takes a Stake in Target,"Toms Capital Investment Management has acquired a significant stake in Target, signaling a potential turnaround for the retailer which saw its stock decline by approximately 28% in 2025. This activist investment, combined with Target's low P/E ratio, strong dividend yield, and a new CEO, creates a compelling opportunity for investors looking for growth and value. Toms Capital is expected to push for strategic changes to unlock shareholder value.",20260101T175429,2026-01-01 17:54:29,negative,0.9358,-0.8961,0.9358,0.0245,0.0397,-1.0,-0.9358,1.0,1.0,1.0,1.0,-0.9358
WMT,2026-01-01,2026-01-01 14:08,Yahoo Finance,"LEMME EXPANDS INTO WALMART, BRINGING ITS AWARD-WINNING WOMEN'S HEALTH SUPPLEMENTS TO THOUSANDS OF STORES NATIONWIDE","Lemme, the wellness brand founded by Kourtney Kardashian Barker, is expanding its national footprint by launching its core wellness lineup in over 2,000 Walmart stores nationwide starting January 1, 2026. This expansion includes popular products like Lemme Purr, Lemme Debloat, and Lemme Sleep gummies, with additional products available online at Walmart.com. The move aims to make science-backed gummy supplements more accessible to consumers seeking wellness essentials.",20260101T140847,2026-01-01 14:08:47,negative,0.7162,-0.4417,0.7162,0.0094,0.2745,-1.0,-0.7162,1.0,1.0,1.0,1.0,-0.7162
WMT,2026-01-01,2026-01-01 13:08,TradingView — Track All Markets,The Kroger Catalyst: $2 Billion Reasons to Buy,"Kroger Co. has emerged as a strong defensive investment with a new $2.9 billion share repurchase program signaling management's confidence and providing a floor for the stock price. The company is benefiting from a macro trend where consumers are increasingly choosing to cook at home due to rising restaurant prices, driving volume into grocery stores. Despite past merger complexities and a recent impairment charge, Kroger's growing digital business and focus on high-margin private-label brands position it well for stability and value creation in 2026.",20260101T130818,2026-01-01 13:08:18,negative,0.9431,-0.8988,0.9431,0.0126,0.0443,-1.0,-0.9431,1.0,1.0,1.0,1.0,-0.9431
WMT,2026-01-01,2026-01-01 12:08,MarketBeat,Walmart Inc. $WMT Shares Sold by Lee Johnson Capital Management LLC,"Lee Johnson Capital Management LLC significantly reduced its stake in Walmart Inc. ($WMT) during the third quarter of 2025, selling 84.2% of its shares. This sale aligns with broader insider selling trends at Walmart, even as the company surpassed earnings expectations and offered positive FY2026 guidance. Institutional investors generally maintain a ""Moderate Buy"" rating on WMT, with an average target price of $120.69.",20260101T120855,2026-01-01 12:08:55,neutral,0.9584,0.007,0.0173,0.9584,0.0243,0.0,0.0,1.0,1.0,1.0,1.0,0.0
WMT,2026-01-01,2026-01-01 12:08,MarketBeat,"Moody Lynn & Lieberson LLC Buys 21,364 Shares of Walmart Inc. $WMT","Moody Lynn & Lieberson LLC significantly increased its stake in Walmart Inc. by 142.4% in Q3, purchasing 21,364 shares to hold a total of 36,364 shares valued at approximately $3.75 million. This coincides with a generally positive outlook from analysts, with a ""Moderate Buy"" consensus rating and an average target price of $120.69. Walmart also reported strong Q3 earnings, surpassing revenue and EPS estimates, and provided positive FY2026 guidance.",20260101T120844,2026-01-01 12:08:44,negative,0.9544,-0.9262,0.9544,0.0174,0.0282,-1.0,-0.9544,1.0,1.0,1.0,1.0,-0.9544
WMT,2026-01-01,2026-01-01 12:08,9to5Toys,"What stores are open on New Year’s Day 2025? Holiday hours for Walmart, Best Buy, Costco, more","This article provides a comprehensive guide to which major retailers are open or closed on New Year's Day 2026, along with their operating hours. While most major stores like Walmart, Target, Best Buy, Home Depot, and Lowe's are open with typical or slightly altered hours, Costco and Sam's Club are noted as being closed. It also advises checking local store hours as they can vary.",20260101T120835,2026-01-01 12:08:35,positive,0.8617,0.8451,0.0166,0.1217,0.8617,1.0,0.8617,1.0,1.0,1.0,1.0,0.8617
WMT,2026-01-01,2026-01-01 12:08,MarketBeat,Set Time: Merit Financial Group LLC Has $31.79 Million Stock Holdings in Walmart Inc. $WMT,"Merit Financial Group LLC significantly increased its stake in Walmart Inc. during the third quarter, now holding 308,439 shares valued at approximately $31.79 million. Despite this, corporate insiders have been selling shares, reducing their ownership to 0.10%. Walmart has shown strong financial performance, beating quarterly estimates and receiving a ""Moderate Buy"" rating from analysts with an average price target of $120.69.",20260101T120830,2026-01-01 12:08:30,negative,0.869,-0.8465,0.869,0.1085,0.0225,-1.0,-0.869,1.0,1.0,1.0,1.0,-0.869
