ticker,trade_date,date,source,headline,summary,time_published,published_dt,label,top_prob,expected_score,p_negative,p_neutral,p_positive,numeric,base,w_recency,w_source,w_impact,w_total,weighted_score
XOM,2026-04-01,2026-04-01 23:09,Bitget,Should You Consider Putting Money Into the Fidelity MSCI Energy Index ETF (FENY)?,"This article evaluates the Fidelity MSCI Energy Index ETF (FENY) as an investment option, highlighting its role in providing diversified, cost-effective exposure to the energy sector. It details FENY's fund specifics, including its low expense ratio, dividend yield, and major holdings like Exxon Mobil, while also comparing its performance and risk metrics against alternative energy ETFs. The piece concludes by suggesting resources for further investment research.",20260401T230925,2026-04-01 23:09:25,positive,0.7599,0.5283,0.2316,0.0085,0.7599,1.0,0.7599,1.0,1.0,1.0,1.0,0.7599
XOM,2026-04-01,2026-04-01 22:37,AD HOC NEWS,Chevron Corporation Stock: Integrated Energy Leader with Strong North American Footprint and Sustain,"Chevron Corporation is highlighted as a cornerstone in the global energy sector, particularly for North American investors due to its strong U.S. operations. The analysis focuses on Chevron's integrated business model, significant upstream assets in the Permian Basin and international projects, robust downstream operations, and strategic investments in low-carbon technologies. It also addresses the company's financial discipline, shareholder value initiatives, and key market risks.",20260401T223722,2026-04-01 22:37:22,negative,0.7511,-0.51,0.7511,0.0078,0.2411,-1.0,-0.7511,1.0,1.0,1.0,1.0,-0.7511
XOM,2026-04-01,2026-04-01 21:22,AD HOC NEWS,Exxon Mobil Corporation Stock: Navigating Energy Sector Dynamics and Long-Term Value for Investors,"This article analyzes Exxon Mobil Corporation (XOM), a cornerstone of the global energy sector, examining its business model, competitive strengths, and financial health for North American investors. It highlights the company's integrated operations, dividend history, and relevance in pension funds and 401(k) plans, while also discussing market influences, risks, and open questions like commodity price volatility and energy transition challenges.",20260401T212253,2026-04-01 21:22:53,positive,0.8688,0.7496,0.1192,0.012,0.8688,1.0,0.8688,1.0,1.0,1.25,1.25,1.086
XOM,2026-04-01,2026-04-01 19:39,Barron's,"These Stocks Are Today’s Movers: Intel, Western Digital, Eli Lilly, Nike, RH, Exxon Mobil, and More","Stocks showed gains Wednesday following higher-than-anticipated February retail sales and March private payroll growth. Investors are also closely monitoring updates regarding the ongoing conflict in Iran. The article highlights several companies like Intel, Western Digital, and Eli Lilly as key market movers.",20260401T193916,2026-04-01 19:39:16,negative,0.539,-0.1097,0.539,0.0317,0.4293,-1.0,-0.539,1.0,1.15,1.0,1.15,-0.61985
XOM,2026-04-01,2026-04-01 19:39,AD HOC NEWS,Exxon Mobil Corporation Stock: Navigating Energy Sector Dynamics and Long-Term Value for Investors,"This article analyzes Exxon Mobil Corporation (XOM) for North American investors, highlighting its integrated business model across upstream, energy products, and specialty products. It emphasizes Exxon Mobil's competitive strengths, including a low-cost upstream portfolio, financial health with consistent dividend growth, and its relevance to North American portfolios due to U.S.-centric operations and energy security contributions. The analysis also addresses sector drivers, market influences, and risks such as commodity price volatility and regulatory shifts.",20260401T193910,2026-04-01 19:39:10,positive,0.7812,0.5727,0.2085,0.0103,0.7812,1.0,0.7812,1.0,1.0,1.25,1.25,0.9765
XOM,2026-04-01,2026-04-01 19:11,San Antonio Express-News,CPS Energy trial: Did it face price gouging or fail to prep in '21 winter storm?,"A trial is currently underway in Bexar County Courthouse to determine whether two natural gas suppliers, Houston Pipe Line Co. LP and Oasis Pipeline LP, charged ""unconscionable prices"" to CPS Energy during the 2021 winter storm. CPS Energy asserts these prices are unenforceable and violate public policy, while the suppliers claim CPS's aggressive purchasing strategies backfired and demand roughly $376 million, including interest. The case highlights the ongoing financial repercussions for CPS Energy and its customers, who are still paying a storm-related fee on their bills.",20260401T191107,2026-04-01 19:11:07,neutral,0.9516,0.0222,0.0131,0.9516,0.0353,0.0,0.0,1.0,1.0,1.0,1.0,0.0
XOM,2026-04-01,2026-04-01 18:38,CP24,Oil shock manageable but prices reflect assumption that conflict will end soon: BMO,"BMO economists report that while the recent surge in oil prices due to an Iran war is notable, the global economy, particularly North America, is resilient enough to manage current levels. However, BMO Capital Markets notes that current prices largely reflect an expectation that the Middle East conflict will be resolved in the near term, with a risk premium likely to remain even after a resolution.",20260401T183800,2026-04-01 18:38:00,negative,0.8944,-0.8665,0.8944,0.0777,0.0279,-1.0,-0.8944,1.0,1.0,1.0,1.0,-0.8944
XOM,2026-04-01,2026-04-01 17:39,Investing.com Australia,"Micron, Eli Lilly among market cap stock movers on Wednesday By Investing.com","On Wednesday, several stocks experienced significant movements, with Micron and Eli Lilly rallying due to news such as a debt tender announcement and FDA approval for an obesity drug, respectively. In contrast, Exxon Mobil and Nike saw declines, the latter due to a downgrade from Goldman Sachs. The article categorizes these movers by market capitalization, highlighting both gains and losses across mega-cap, large-cap, mid-cap, and small-cap companies.",20260401T173956,2026-04-01 17:39:56,neutral,0.89,-0.0637,0.0869,0.89,0.0231,0.0,0.0,1.0,1.0,1.0,1.0,0.0
XOM,2026-04-01,2026-04-01 16:50,TradingView,"Chord Energy, Murphy Oil, Crescent Energy, Diamondback Energy, and Devon Energy Stocks Trade Down, What You Need To Know","Shares of Chord Energy, Murphy Oil, Crescent Energy, Diamondback Energy, and Devon Energy fell in afternoon trading due to a drop in oil prices. This decline was triggered by signals of de-escalation in the U.S.-Iran conflict, leading to the unwinding of the ""war premium"" on oil. West Texas Intermediate (WTI) crude oil fell by about 2%, impacting energy stocks as traders also took profits.",20260401T165038,2026-04-01 16:50:38,neutral,0.9741,0.0086,0.0086,0.9741,0.0173,0.0,0.0,1.0,1.0,1.0,1.0,0.0
XOM,2026-04-01,2026-04-01 16:37,The Globe and Mail,"Analysts Are Neutral on Top Energy Stocks: EOG Resources (EOG), BP (BP)","Analysts have issued neutral ratings for EOG Resources (EOG) and BP (BP), indicating a balanced outlook for both energy stocks. Roth MKM analyst Leo Mariani assigned a Hold rating for EOG with a target of $110.00, while Evercore ISI's Stephen Richardson maintained a Hold rating on BP with a $52.00 price target. The consensus for EOG is a Moderate Buy with a slight downside, and for BP, a Hold with a larger downside.",20260401T163734,2026-04-01 16:37:34,positive,0.584,0.3508,0.2332,0.1829,0.584,1.0,0.584,1.0,1.0,1.0,1.0,0.584
